A1BG	alpha-1-B glycoprotein
PTP4A2	HU-PP-1|PTPCAAX2|OV-1|ptp-IV1a|PRL-2|protein tyrosine phosphatase type IVA, member 2
PTP4A3	PRL-3|PRL-R|PRL3|protein tyrosine phosphatase type IVA, member 3
PTPDC1	PTP9Q22|FLJ37312|protein tyrosine phosphatase domain containing 1
PTPMT1	PLIP|DUSP23|MOSP|protein tyrosine phosphatase, mitochondrial 1
PTPN1	protein tyrosine phosphatase, non-receptor type 1
PTPN11	BPTP3|SH-PTP2|SHP-2|PTP2C|SHP2|protein tyrosine phosphatase, non-receptor type 11
PTPN12	PTPG1|PTP-PEST|protein tyrosine phosphatase, non-receptor type 12
PTPN13	PTP1E|PTP-BAS|PTPL1|PTP-BL|protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)
PTPN14	PEZ|protein tyrosine phosphatase, non-receptor type 14
PTPN18	BDP1|protein tyrosine phosphatase, non-receptor type 18 (brain-derived)
PTPN2	TCELLPTP|TC-PTP|TCPTP|protein tyrosine phosphatase, non-receptor type 2
PTPN20	bA42B19.1|DKFZP566K0524|bA142I17.1|CT126|protein tyrosine phosphatase, non-receptor type 20
PTPN21	PTPD1|PTPRL10|protein tyrosine phosphatase, non-receptor type 21
PTPN22	Lyp|Lyp1|Lyp2|protein tyrosine phosphatase, non-receptor type 22 (lymphoid)
PTPN23	DKFZP564F0923|KIAA1471|HD-PTP|protein tyrosine phosphatase, non-receptor type 23
PTPN3	PTPH1|protein tyrosine phosphatase, non-receptor type 3
PTPN4	PTPMEG|protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)
PTPN5	STEP|PTPSTEP|protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)
PTPN6	HCP|HCPH|PTP-1C|SHP-1|SHP1|protein tyrosine phosphatase, non-receptor type 6
PTPN7	HEPTP|LC-PTP|protein tyrosine phosphatase, non-receptor type 7
PTPN9	MEG2|protein tyrosine phosphatase, non-receptor type 9
PTPRA	LRP|HLPR|HPTPA|RPTPA|protein tyrosine phosphatase, receptor type, A
PTPRB	protein tyrosine phosphatase, receptor type, B
PTPRC	LCA|T200|GP180|protein tyrosine phosphatase, receptor type, C
PTPRCAP	LPAP|CD45-AP|protein tyrosine phosphatase, receptor type, C-associated protein
PTPRD	PTPD|HPTP|protein tyrosine phosphatase, receptor type, D
PTPRE	PTPE|protein tyrosine phosphatase, receptor type, E
PTPRF	protein tyrosine phosphatase, receptor type, F
PTPRG	RPTPG|protein tyrosine phosphatase, receptor type, G
PTPRH	SAP-1|protein tyrosine phosphatase, receptor type, H
PTPRJ	DEP1|HPTPeta|CD148|protein tyrosine phosphatase, receptor type, J
PTPRK	R-PTP-kappa|protein tyrosine phosphatase, receptor type, K
PTPRM	RPTPU|hR-PTPu|protein tyrosine phosphatase, receptor type, M
PTPRN	IA-2|protein tyrosine phosphatase, receptor type, N
PTPRN2	KIAA0387|phogrin|ICAAR|IA-2beta|protein tyrosine phosphatase, receptor type, N polypeptide 2
PTPRO	PTPU2|GLEPP1|PTP-U2|PTP-oc|NPHS6|protein tyrosine phosphatase, receptor type, O
PTPRQ	protein tyrosine phosphatase, receptor type, Q
PTPRR	PTPBR7|PTP-SL|EC-PTP|PCPTP1|protein tyrosine phosphatase, receptor type, R
PTPRS	protein tyrosine phosphatase, receptor type, S
PTPRT	RPTPrho|KIAA0283|protein tyrosine phosphatase, receptor type, T
PTPRU	PTPRO|hPTP-J|PCP-2|FMI|PTP|protein tyrosine phosphatase, receptor type, U
PTPRZ1	PTP18|RPTPB|phosphacan|protein tyrosine phosphatase, receptor-type, Z polypeptide 1
PTRF	cavin-1|CAVIN1|polymerase I and transcript release factor
PTRH1	PTH1|peptidyl-tRNA hydrolase 1 homolog
PTRH2	BIT1|CGI-147|PTH2|CFAP37|peptidyl-tRNA hydrolase 2
PTRHD1	LOC391356|peptidyl-tRNA hydrolase domain containing 1
PTS	PTPS|6-pyruvoyltetrahydropterin synthase
PTTG1	PTTG|HPTTG|EAP1|securin|pituitary tumor-transforming 1
PTTG1IP	PBF|pituitary tumor-transforming 1 interacting protein
PTTG2	pituitary tumor-transforming 2
PTX3	TSG-14|pentraxin 3, long
PTX4	pentraxin 4, long
PUDP	DXF68S1E|GS1|pseudouridine 5'-phosphatase
PUF60	FIR|SIAHBP1|RoBPI|poly-U binding splicing factor 60KDa
PUM1	PUMH1|KIAA0099|pumilio RNA binding family member 1
PUM2	PUMH2|KIAA0235|pumilio RNA binding family member 2
PUM3	XTP5|PEN|PUF6|hPUF-A|HA-8|pumilio RNA binding family member 3
PURA	PURALPHA|PUR1|PUR-ALPHA|purine-rich element binding protein A
PURB	PURBETA|purine-rich element binding protein B
PURG	PURG-A|PURG-B|purine-rich element binding protein G
PUS1	pseudouridylate synthase 1
PUS10	FLJ32312|pseudouridylate synthase 10
PUS3	FKSG32|pseudouridylate synthase 3
PUS7	FLJ20485|pseudouridylate synthase 7 (putative)
PUS7L	DKFZP434G1415|pseudouridylate synthase 7-like
PUSL1	FLJ90811|pseudouridylate synthase-like 1
PVALB	D22S749|parvalbumin
PVR	CD155|HVED|Necl-5|NECL5|Tage4|poliovirus receptor
PVRIG	MGC2463|C7orf15|poliovirus receptor related immunoglobulin domain containing
PVRL1	PRR|PRR1|PVRR1|SK-12|HIgR|CLPED1|CD111|OFC7|poliovirus receptor-related 1 (herpesvirus entry mediator C)
PVRL2	PVRR2|PRR2|CD112|poliovirus receptor-related 2 (herpesvirus entry mediator B)
PVRL3	nectin-3|PPR3|PVRR3|DKFZP566B0846|CDw113|CD113|poliovirus receptor-related 3
PVRL4	nectin-4|PRR4|LNIR|poliovirus receptor-related 4
PWP1	IEF-SSP-9502|PWP1 homolog, endonuclein
PWP2	EHOC-17|UTP1|PWP2 periodic tryptophan protein homolog (yeast)
PWWP2A	KIAA1935|PWWP domain containing 2A
PWWP2B	bA432J24.1|FLJ46823|PWWP domain containing 2B
PXDC1	PX domain containing 1
PXDN	KIAA0230|PRG2|MG50|D2S448|D2S448E|PXN|peroxidasin
PXDNL	FLJ25471|PMR1|peroxidasin-like
PXK	FLJ20335|PX domain containing serine/threonine kinase
PXMP2	PMP22|peroxisomal membrane protein 2, 22kDa
PXMP4	PMP24|peroxisomal membrane protein 4, 24kDa
PXN	paxillin
PXT1	STEPP|peroxisomal, testis specific 1
PXYLP1	FLJ23751|2-phosphoxylose phosphatase 1
PYCARD	TMS-1|CARD5|ASC|PYD and CARD domain containing
PYCR1	P5C|pyrroline-5-carboxylate reductase 1
PYCR2	P5CR2|pyrroline-5-carboxylate reductase family, member 2
PYCRL	FLJ13852|pyrroline-5-carboxylate reductase-like
PYDC1	ASC2|POP1|PYD (pyrin domain) containing 1
PYDC2	POP2|pyrin domain containing 2
PYGB	phosphorylase, glycogen; brain
PYGL	phosphorylase, glycogen, liver
PYGM	phosphorylase, glycogen, muscle
PYGO1	pygopus family PHD finger 1
PYGO2	pygopus family PHD finger 2
PYHIN1	IFIX|MGC23885|pyrin and HIN domain family, member 1
PYM1	PYM|PYM homolog 1, exon junction complex associated factor
PYROXD1	DKFZp762G094|FLJ22028|pyridine nucleotide-disulphide oxidoreductase domain 1
PYROXD2	FLJ23849|pyridine nucleotide-disulphide oxidoreductase domain 2
PYURF	PreY|PIGY upstream reading frame
PYY	PYY1|peptide YY
PZP	CPAMD6|pregnancy-zone protein
QARS	glutaminyl-tRNA synthetase
QDPR	DHPR|PKU2|SDR33C1|quinoid dihydropteridine reductase
QKI	QK3|QKI, KH domain containing, RNA binding
QPCT	QC|GCT|glutaminyl-peptide cyclotransferase
QPCTL	FLJ20084|glutaminyl-peptide cyclotransferase-like
QPRT	QPRTase|quinolinate phosphoribosyltransferase
QRFP	26RFa|P518|pyroglutamylated RFamide peptide
QRFPR	pyroglutamylated RFamide peptide receptor
QRICH1	FLJ20259|glutamine-rich 1
QRICH2	DKFZP434P0316|glutamine rich 2
QRSL1	GatA|FLJ10989|FLJ12189|DKFZP564C1278|FLJ13447|glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
QSER1	FLJ21924|glutamine and serine rich 1
QSOX1	quiescin Q6 sulfhydryl oxidase 1
QSOX2	SOXN|DKFZp762A2013|quiescin Q6 sulfhydryl oxidase 2
QTRT1	TGT|queuine tRNA-ribosyltransferase 1
QTRTD1	FLJ12960|queuine tRNA-ribosyltransferase domain containing 1
R3HCC1	DKFZp564N123|R3H domain and coiled-coil containing 1
R3HCC1L	GIDRP86|PSORT|R3H domain and coiled-coil containing 1-like
R3HDM1	KIAA0029|R3H domain containing 1
R3HDM2	KIAA1002|R3H domain containing 2
R3HDM4	MGC16353|R3H domain containing 4
R3HDML	dJ881L22.3|R3H domain containing-like
RAB10	RAB10, member RAS oncogene family
RAB11A	YL8|RAB11A, member RAS oncogene family
RAB11B	H-YPT3|RAB11B, member RAS oncogene family
RAB11FIP1	RCP|FLJ22622|FLJ22524|Rab11-FIP1|RAB11 family interacting protein 1 (class I)
RAB11FIP2	KIAA0941|nRip11|Rab11-FIP2|RAB11 family interacting protein 2 (class I)
RAB11FIP3	KIAA0665|Rab11-FIP3|eferin|RAB11 family interacting protein 3 (class II)
RAB11FIP4	RAB11-FIP4|KIAA1821|MGC11316|FLJ00131|RAB11 family interacting protein 4 (class II)
RAB11FIP5	GAF1|KIAA0857|RIP11|pp75|RAB11 family interacting protein 5 (class I)
RAB12	RAB12, member RAS oncogene family
RAB13	RAB13, member RAS oncogene family
RAB14	FBP|RAB-14|RAB14, member RAS oncogene family
RAB15	RAB15, member RAS oncogene family
RAB17	RAB17, member RAS oncogene family
RAB18	RAB18, member RAS oncogene family
RAB19	RAB19B|RAB19, member RAS oncogene family
RAB1A	YPT1|RAB1A, member RAS oncogene family
RAB1B	RAB1B, member RAS oncogene family
RAB20	FLJ20429|RAB20, member RAS oncogene family
RAB21	KIAA0118|RAB21, member RAS oncogene family
RAB22A	RAB22A, member RAS oncogene family
RAB23	RAB23, member RAS oncogene family
RAB24	RAB24, member RAS oncogene family
RAB25	CATX-8|RAB25, member RAS oncogene family
RAB26	RAB26, member RAS oncogene family
RAB27A	RAB27|RAM|GS2|HsT18676|RAB27A, member RAS oncogene family
RAB27B	RAB27B, member RAS oncogene family
RAB28	RAB28, member RAS oncogene family
RAB29	RAB29, member RAS oncogene family
RAB2A	RAB2A, member RAS oncogene family
RAB2B	FLJ14824|RAB2B, member RAS oncogene family
RAB30	RAB30, member RAS oncogene family
RAB31	Rab22B|RAB31, member RAS oncogene family
RAB32	RAB32, member RAS oncogene family
RAB33A	RabS10|RAB33A, member RAS oncogene family
RAB33B	DKFZP434G099|RAB33B, member RAS oncogene family
RAB34	RAB39|RAH|RAB34, member RAS oncogene family
RAB35	H-ray|RAB35, member RAS oncogene family
RAB36	RAB36, member RAS oncogene family
RAB37	RAB37, member RAS oncogene family
RAB38	NY-MEL-1|RAB38, member RAS oncogene family
RAB39A	RAB39A, member RAS oncogene family
RAB39B	RAB39B, member RAS oncogene family
RAB3A	RAB3A, member RAS oncogene family
RAB3B	RAB3B, member RAS oncogene family
RAB3C	RAB3C, member RAS oncogene family
RAB3D	RAB16|D2-2|RAD3D|RAB3D, member RAS oncogene family
RAB3GAP1	RAB3GAP|KIAA0066|RAB3GAP130|WARBM1|RAB3 GTPase activating protein subunit 1 (catalytic)
RAB3GAP2	RAB3-GAP150|KIAA0839|DKFZP434D245|SPG69|RAB3 GTPase activating protein subunit 2 (non-catalytic)
RAB3IL1	GRAB|RAB3A interacting protein (rabin3)-like 1
RAB3IP	RABIN3|FLJ22548|RABIN8|RAB3A interacting protein
RAB40A	RAR2A|Rar-2|RAB40A, member RAS oncogene family
RAB40AL	RAR2|RLGP|RAB40A, member RAS oncogene family-like
RAB40B	SEC4L|RAR|RAB40B, member RAS oncogene family
RAB40C	RARL|RAB40C, member RAS oncogene family
RAB41	RAB41, member RAS oncogene family
RAB42	MGC45806|RAB42, member RAS oncogene family
RAB43	RAB41|RAB11B|ISY1|RAB43, member RAS oncogene family
RAB44	dJ431A14.3|RAB44, member RAS oncogene family
RAB4A	HRES-1/RAB4|RAB4A, member RAS oncogene family
RAB4B	FLJ78649|MGC52123|RAB4B, member RAS oncogene family
RAB5A	RAB5A, member RAS oncogene family
RAB5B	RAB5B, member RAS oncogene family
RAB5C	RAB5CL|RAB5C, member RAS oncogene family
RAB6A	RAB6A, member RAS oncogene family
RAB6B	RAB6B, member RAS oncogene family
RAB6C	WTH3|RAB6C, member RAS oncogene family
RAB7A	RAB7A, member RAS oncogene family
RAB7B	MGC9726|MGC16212|RAB7B, member RAS oncogene family
RAB8A	RAB8|RAB8A, member RAS oncogene family
RAB8B	RAB8B, member RAS oncogene family
RAB9A	RAB9A, member RAS oncogene family
RAB9B	RAB9L|RAB9B, member RAS oncogene family
RABAC1	PRA1|PRAF1|YIP3|Rab acceptor 1 (prenylated)
RABEP1	neurocrescin|RAB5EP|RABPT5|rabaptin-5|rabaptin, RAB GTPase binding effector protein 1
RABEP2	FRA|FLJ23282|rabaptin, RAB GTPase binding effector protein 2
RABEPK	RAB9P40|bA65N13.1|Rab9 effector protein with kelch motifs
RABGAP1	GAPCenA|TBC1D11|RAB GTPase activating protein 1
RABGAP1L	HHL|TBC1D18|KIAA0471|FLJ38519|RAB GTPase activating protein 1-like
RABGEF1	rabex-5|RABEX5|RAB guanine nucleotide exchange factor (GEF) 1
RABGGTA	PTAR3|Rab geranylgeranyltransferase, alpha subunit
RABGGTB	Rab geranylgeranyltransferase, beta subunit
RABIF	mss4|RAB interacting factor
RABL2A	RAB, member of RAS oncogene family-like 2A
RABL2B	RAB, member of RAS oncogene family-like 2B
RABL3	MGC23920|RAB, member of RAS oncogene family-like 3
RABL6	FLJ10101|FLJ13045|pp8875|bA216L13.9|Parf|RBEL1|RAB, member RAS oncogene family-like 6
RAC1	TC-25|p21-Rac1|Rac-1|ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)
RAC2	EN-7|ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
RAC3	ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)
RACGAP1	MgcRacGAP|Rac GTPase activating protein 1
RAD1	HRAD1|REC1|RAD1 checkpoint DNA exonuclease
RAD17	Rad24|RAD17Sp|CCYC|RAD17 checkpoint clamp loader component
RAD18	RNF73|RAD18 E3 ubiquitin protein ligase
RAD21	KIAA0078|hHR21|SCC1|RAD21 cohesin complex component
RAD21L1	dJ545L17.2|RAD21L|RAD21 cohesin complex component like 1
RAD23A	HHR23A|MGC111083|RAD23 homolog A, nucleotide excision repair protein
RAD23B	HHR23B|P58|HR23B|RAD23 homolog B, nucleotide excision repair protein
RAD50	hRad50|RAD50-2|RAD50 homolog, double strand break repair protein
RAD51	HsRad51|HsT16930|BRCC5|FANCR|RAD51 recombinase
RAD51AP1	PIR51|RAD51 associated protein 1
RAD51AP2	FLJ17540|RAD51 associated protein 2
RAD51B	REC2|hREC2|R51H2|RAD51 paralog B
RAD51C	RAD51L2|FANCO|RAD51 paralog C
RAD51D	R51H3|Trad|HsTRAD|RAD51 paralog D
RAD52	RAD52 homolog, DNA repair protein
RAD54B	RDH54|RAD54 homolog B (S. cerevisiae)
RAD54L	hHR54|hRAD54|RAD54A|RAD54-like (S. cerevisiae)
RAD54L2	KIAA0809|SRISNF2L|ARIP4|RAD54-like 2 (S. cerevisiae)
RAD9A	RAD9 checkpoint clamp component A
RAD9B	FLJ40346|RAD9 checkpoint clamp component B
RADIL	FLJ10324|KIAA1849|RASIP2|Ras association and DIL domains
RAE1	Mnrp41|ribonucleic acid export 1
RAET1E	LETAL|bA350J20.7|ULBP4|retinoic acid early transcript 1E
RAET1G	ULBP5|retinoic acid early transcript 1G
RAET1L	retinoic acid early transcript 1L
RAF1	Raf-1|c-Raf|CRAF|Raf-1 proto-oncogene, serine/threonine kinase
RAG1	RNF74|MGC43321|recombination activating gene 1
RAG2	recombination activating gene 2
RAI1	DKFZP434A139|SMS|KIAA1820|MGC12824|retinoic acid induced 1
RAI14	NORPEG|KIAA1334|RAI13|DKFZp564G013|retinoic acid induced 14
RAI2	retinoic acid induced 2
RALA	v-ral simian leukemia viral oncogene homolog A (ras related)
RALB	v-ral simian leukemia viral oncogene homolog B
RALBP1	RLIP76|RIP1|RIP|ralA binding protein 1
RALGAPA1	GRIPE|DKFZp667F074|KIAA0884|Tulip1|RalGAPalpha1|Ral GTPase activating protein, alpha subunit 1 (catalytic)
RALGAPA2	dJ1049G11.4|AS250|KIAA1272|RapGAPalpha2|Ral GTPase activating protein, alpha subunit 2 (catalytic)
RALGAPB	DKFZp781M2411|RalGAPbeta|Ral GTPase activating protein, beta subunit (non-catalytic)
RALGDS	RGF|RalGEF|RGDS|ral guanine nucleotide dissociation stimulator
RALGPS1	RALGPS1A|RALGEF2|KIAA0351|Ral GEF with PH domain and SH3 binding motif 1
RALGPS2	KIAA0351|FLJ10244|FLJ25604|Ral GEF with PH domain and SH3 binding motif 2
RALY	P542|HNRPCL2|RALY heterogeneous nuclear ribonucleoprotein
RALYL	HNRPCL3|RALY RNA binding protein-like
RAMP1	receptor (G protein-coupled) activity modifying protein 1
RAMP2	receptor (G protein-coupled) activity modifying protein 2
RAMP3	receptor (G protein-coupled) activity modifying protein 3
RAN	ARA24|TC4|Gsp1|RAN, member RAS oncogene family
RANBP1	HTF9A|RAN binding protein 1
RANBP10	KIAA1464|RAN binding protein 10
RANBP17	RAN binding protein 17
RANBP2	NUP358|ADANE|RAN binding protein 2
RANBP3	RAN binding protein 3
RANBP3L	FLJ25422|RAN binding protein 3-like
RANBP6	RAN binding protein 6
RANBP9	RanBPM|RAN binding protein 9
RANGAP1	Fug1|KIAA1835|Ran GTPase activating protein 1
RANGRF	MOG1|HSPC165|HSPC236|RANGNRF|RAN guanine nucleotide release factor
RAP1A	KREV-1|SMGP21|RAP1A, member of RAS oncogene family
RAP1B	K-REV|RAL1B|DKFZp586H0723|RAP1B, member of RAS oncogene family
RAP1GAP	KIAA0474|RAP1GAP1|RAP1GAPII|RAP1 GTPase activating protein
RAP1GAP2	KIAA1039|RAP1 GTPase activating protein 2
RAP1GDS1	SmgGDS|RAP1, GTP-GDP dissociation stimulator 1
RAP2A	K-REV|RAP2A, member of RAS oncogene family
RAP2B	RAP2B, member of RAS oncogene family
RAP2C	DKFZp313B211|RAP2C, member of RAS oncogene family
RAPGEF1	C3G|Rap guanine nucleotide exchange factor (GEF) 1
RAPGEF2	PDZ-GEF1|RA-GEF|DKFZP586O1422|KIAA0313|Rap guanine nucleotide exchange factor (GEF) 2
RAPGEF3	cAMP-GEFI|EPAC|bcm910|Rap guanine nucleotide exchange factor (GEF) 3
RAPGEF4	cAMP-GEFII|CGEF2|Rap guanine nucleotide exchange factor (GEF) 4
RAPGEF5	KIAA0277|GFR|MR-GEF|Rap guanine nucleotide exchange factor (GEF) 5
RAPGEF6	RA-GEF-2|PDZ-GEF2|Rap guanine nucleotide exchange factor (GEF) 6
RAPGEFL1	Link-GEFII|Rap guanine nucleotide exchange factor (GEF)-like 1
RAPH1	KIAA1681|Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
RAPSN	RNF205|CMS1D|CMS1E|receptor-associated protein of the synapse
RARA	RAR|NR1B1|retinoic acid receptor, alpha
RARB	HAP|NR1B2|RRB2|retinoic acid receptor, beta
RARG	RARC|NR1B3|retinoic acid receptor, gamma
RARRES1	TIG1|LXNL|retinoic acid receptor responder (tazarotene induced) 1
RARRES2	TIG2|HP10433|retinoic acid receptor responder (tazarotene induced) 2
RARRES3	TIG3|HRASLS4|retinoic acid receptor responder (tazarotene induced) 3
RARS	DALRD1|arginyl-tRNA synthetase
RARS2	MGC14993|MGC23778|PRO1992|dJ382I10.6|DALRD2|arginyl-tRNA synthetase 2, mitochondrial
RASA1	GAP|CM-AVM|p120GAP|p120RASGAP|RAS p21 protein activator (GTPase activating protein) 1
RASA2	GAP1M|RAS p21 protein activator 2
RASA3	GAP1IP4BP|GAPIII|RAS p21 protein activator 3
RASA4	KIAA0538|CAPRI|GAPL|RAS p21 protein activator 4
RASA4B	RAS p21 protein activator 4B
RASAL1	RASAL|RAS protein activator like 1 (GAP1 like)
RASAL2	nGAP|RAS protein activator like 2
RASAL3	FLJ21438|RAS protein activator like 3
RASD1	DEXRAS1|AGS1|RAS, dexamethasone-induced 1
RASD2	TEM2|Rhes|MGC:4834|RASD family, member 2
RASEF	FLJ31614|RAS and EF-hand domain containing
RASGEF1A	CG4853|FLJ37817|RasGEF domain family, member 1A
RASGEF1B	GPIG4|FLJ31695|RasGEF domain family, member 1B
RASGEF1C	FLJ35841|RasGEF domain family, member 1C
RASGRF1	CDC25L|CDC25|GRF55|H-GRF55|GNRP|PP13187|Ras protein-specific guanine nucleotide-releasing factor 1
RASGRF2	GRF2|Ras-GRF2|Ras protein-specific guanine nucleotide-releasing factor 2
RASGRP1	CalDAG-GEFII|RASGRP|RAS guanyl releasing protein 1 (calcium and DAG-regulated)
RASGRP2	CALDAG-GEFI|RAS guanyl releasing protein 2 (calcium and DAG-regulated)
RASGRP3	KIAA0846|GRP3|RAS guanyl releasing protein 3 (calcium and DAG-regulated)
RASGRP4	RAS guanyl releasing protein 4
RASIP1	FLJ20401|RAIN|Ras interacting protein 1
RASL10A	RRP22|RAS-like, family 10, member A
RASL10B	VTS58635|RRP17|RAS-like, family 10, member B
RASL11A	RAS-like, family 11, member A
RASL11B	RAS-like, family 11, member B
RASL12	RIS|RAS-like, family 12
RASSF1	NORE2A|REH3P21|RDA32|123F2|Ras association (RalGDS/AF-6) domain family member 1
RASSF10	Ras association (RalGDS/AF-6) domain family (N-terminal) member 10
RASSF2	KIAA0168|CENP-34|Ras association (RalGDS/AF-6) domain family member 2
RASSF3	Ras association (RalGDS/AF-6) domain family member 3
RASSF4	AD037|MGC44914|Ras association (RalGDS/AF-6) domain family member 4
RASSF5	Maxp1|NORE1|RAPL|Ras association (RalGDS/AF-6) domain family member 5
RASSF6	Ras association (RalGDS/AF-6) domain family member 6
RASSF7	HRC1|HRAS1|Ras association (RalGDS/AF-6) domain family (N-terminal) member 7
RASSF8	HoJ-1|Ras association (RalGDS/AF-6) domain family (N-terminal) member 8
RASSF9	P-CIP1|Ras association (RalGDS/AF-6) domain family (N-terminal) member 9
RAVER1	KIAA1978|ribonucleoprotein, PTB-binding 1
RAVER2	KIAA1579|FLJ10770|ribonucleoprotein, PTB-binding 2
RAX	RX|retina and anterior neural fold homeobox
RAX2	MGC15631|ARMD6|CORD11|retina and anterior neural fold homeobox 2
RB1	RB|PPP1R130|retinoblastoma 1
RB1CC1	KIAA0203|Cc1|DRAGOU14|FIP200|ATG17|PPP1R131|RB1-inducible coiled-coil 1
RBAK	ZNF769|RB-associated KRAB zinc finger
RBBP4	RbAp48|NURF55|lin-53|retinoblastoma binding protein 4
RBBP5	RBQ3|SWD1|retinoblastoma binding protein 5
RBBP6	P2P-R|PACT|SNAMA|retinoblastoma binding protein 6
RBBP7	RbAp46|retinoblastoma binding protein 7
RBBP8	CtIP|RIM|COM1|retinoblastoma binding protein 8
RBBP8NL	dJ908M14.3|RBBP8 N-terminal like
RBBP9	Bog|retinoblastoma binding protein 9
RBCK1	RBCK2|XAP4|RNF54|ZRANB4|UBCE7IP3|HOIL1|RanBP-type and C3HC4-type zinc finger containing 1
RBFA	FLJ21172|HsT169|ribosome binding factor A (putative)
RBFOX1	A2BP1|FOX-1|HRNBP1|RNA binding protein, fox-1 homolog (C. elegans) 1
RBFOX2	HNRBP2|FOX-2|HRNBP2|RNA binding protein, fox-1 homolog (C. elegans) 2
RBFOX3	FOX-3|NeuN|HRNBP3|RNA binding protein, fox-1 homolog (C. elegans) 3
RBKS	DKFZp686G13268|RBSK|ribokinase
RBL1	p107|cp107|PRB1|retinoblastoma-like 1
RBL2	Rb2|p130|retinoblastoma-like 2
RBM10	DXS8237E|KIAA0122|GPATC9|ZRANB5|GPATCH9|RNA binding motif protein 10
RBM11	RNA binding motif protein 11
RBM12	HRIHFB2091|KIAA0765|SWAN|RNA binding motif protein 12
RBM12B	RNA binding motif protein 12B
RBM14	SIP|SYTIP1|COAA|DKFZp779J0927|RNA binding motif protein 14
RBM15	OTT|OTT1|RNA binding motif protein 15
RBM15B	HUMAGCGB|OTT3|RNA binding motif protein 15B
RBM17	SPF45|MGC14439|RNA binding motif protein 17
RBM18	MGC2734|RNA binding motif protein 18
RBM19	DKFZp586F1023|KIAA0682|RNA binding motif protein 19
RBM20	RNA binding motif protein 20
RBM22	FLJ10290|ZC3H16|fSAP47|Cwc2|RNA binding motif protein 22
RBM23	FLJ10482|CAPERbeta|RNA binding motif protein 23
RBM24	FLJ30829|dJ259A10.1|RNA binding motif protein 24
RBM25	S164|fSAP94|NET52|Snu71|RNA binding motif protein 25
RBM26	PRO1777|SE70-2|FLJ20957|ZC3H17|ARRS2|PPP1R132|RNA binding motif protein 26
RBM27	KIAA1311|ARRS1|Psc1|ZC3H20|RNA binding motif protein 27
RBM28	FLJ10377|RNA binding motif protein 28
RBM3	IS1-RNPL|RNA binding motif (RNP1, RRM) protein 3
RBM33	DKFZp686F102|MGC20460|DKFZp434D1319|RNA binding motif protein 33
RBM34	KIAA0117|RNA binding motif protein 34
RBM38	HSRNASEB|SEB4D|seb4B|dJ800J21.2|RNA binding motif protein 38
RBM39	CC1.3|HCC1|CAPER|fSAP59|CAPERalpha|RNA binding motif protein 39
RBM4	LARK|RBM4A|ZCRB3A|ZCCHC21|RNA binding motif protein 4
RBM41	FLJ11016|RNA binding motif protein 41
RBM42	MGC10433|RNA binding motif protein 42
RBM43	FLJ45645|RNA binding motif protein 43
RBM44	FLJ40411|RNA binding motif protein 44
RBM45	DRB1|FLJ44612|RNA binding motif protein 45
RBM46	MGC27016|CT68|RNA binding motif protein 46
RBM47	FLJ20273|NET18|RNA binding motif protein 47
RBM48	DKFZp564O0523|HSPC304|RNA binding motif protein 48
RBM4B	MGC10871|ZCCHC15|RBM4L|ZCRB3B|ZCCHC21B|RNA binding motif protein 4B
RBM5	LUCA15|H37|RNA binding motif protein 5
RBM6	DEF-3|3G2|NY-LU-12|g16|DEF3|RNA binding motif protein 6
RBM7	RNA binding motif protein 7
RBM8A	ZNRP|BOV-1A|BOV-1B|BOV-1C|RBM8B|Y14|RNA binding motif protein 8A
RBMS1	SCR2|MSSP-1|MSSP-2|MSSP-3|YC1|HCC-4|DKFZp564H0764|RNA binding motif, single stranded interacting protein 1
RBMS2	SCR3|RNA binding motif, single stranded interacting protein 2
RBMS3	RNA binding motif, single stranded interacting protein 3
RBMX	RNMX|hnRNP-G|HNRNPG|RNA binding motif protein, X-linked
RBMX2	CGI-79|Snu17|RNA binding motif protein, X-linked 2
RBMXL1	KAT3|RNA binding motif protein, X-linked-like 1
RBMXL2	HNRNPG-T|HNRPGT|RNA binding motif protein, X-linked-like 2
RBMXL3	FLJ40249|RNA binding motif protein, X-linked-like 3
RBMY1A1	YRRM1|YRRM2|RNA binding motif protein, Y-linked, family 1, member A1
RBMY1B	RNA binding motif protein, Y-linked, family 1, member B
RBMY1D	RNA binding motif protein, Y-linked, family 1, member D
RBMY1E	RNA binding motif protein, Y-linked, family 1, member E
RBMY1F	MGC33094|RNA binding motif protein, Y-linked, family 1, member F
RBMY1J	RNA binding motif protein, Y-linked, family 1, member J
RBP1	CRABP-I|CRBP1|CRBP|RBPC|CRBPI|retinol binding protein 1, cellular
RBP2	CRBP2|RBPC2|CRBPII|CRABP-II|retinol binding protein 2, cellular
RBP3	D10S64|D10S65|D10S66|RP66|retinol binding protein 3, interstitial
RBP4	retinol binding protein 4, plasma
