NoCell	NoD@ NA
Pol2_2meth_asNC|MEF cell line	EmF@ MEF
Pol2_SRSF2ko|MEF cell line	EmF@ MEF
Pol2_SRSF2wt|MEF cell line	EmF@ MEF
Pol2_SRSF1ko|MEF cell line	EmF@ MEF
Pol2_SRSF1wt|MEF cell line	EmF@ MEF
SRSF2_ChIP_SRSF1ko|MEF cell line	EmF@ MEF
SRSF2_ChIP_SRSF1wt|MEF cell line	EmF@ MEF
SRSF1_ChIP_SRSF2ko|MEF cell line	EmF@ MEF
SRSF1_ChIP_SRSF2wt|MEF cell line	EmF@ MEF
SRSF2_NA_ChIP|MEF cell line	EmF@ MEF
SRSF1_NA_ChIP|MEF cell line	EmF@ MEF
SRSF2_HA_ChIP|MEF cell line	EmF@ MEF
SRSF1_HA_ChIP|MEF cell line	EmF@ MEF
B6CBAF1/J|input DNA|n/a	Unc@ Unclassified
B6CBAF1/J|Proximal Forelimbs E12.5|Proximal Forelimbs	Emb@ Embryonic limb
B6CBAF1/J|Early forelimb buds E10.5|Forelimb buds	Emb@ Embryonic limb
B6CBAF1/J|Early forelimb buds E9.5|Forelimb buds	Emb@ Embryonic limb
E14 cells_IgG_IP|E14 murine embryonic stem cells	PSC@ Embryonic Stem Cells
E14 cells_Zfp322a_IP|E14 murine embryonic stem cells	PSC@ Embryonic Stem Cells
naive_IgG_nave|hippocampus	Neu@ Hippocampus
vehicle_Input_Veh|hippocampus	Neu@ Hippocampus
HD-82Q_AcH4K12_ChIPseq|hippocampus	Neu@ Hippocampus
WT_AcH4K12_ChIPseq|hippocampus	Neu@ Hippocampus
HD-82Q_AcH3K9,14_ChIPseq|hippocampus	Neu@ Hippocampus
WT_AcH3K9,14_ChIPseq|hippocampus	Neu@ Hippocampus
2010-4428_101222_HWI-EAS146_0319_s_3_sequence|Second Heart Field (SHF) cells disected from Mouse Embryos|E9.5 embryos	Emb@ Embryonic heart
2011-947_110806_SN484_0108_AD0BT3ABXX_2_sequence|Second Heart Field (SHF) cells disected from Mouse Embryos|E9.5 embryos	Emb@ Embryonic heart
FVB/N|ATF4_ChIP-seq|Primary dermal fibroblasts	Epd@ Dermal fibroblasts
FVB/N|CEBPB_Tg_ChIP-seq|Primary dermal fibroblasts	Epd@ Dermal fibroblasts
FVB/N|CEBPB_ChIP-seq|Primary dermal fibroblasts	Epd@ Dermal fibroblasts
C2C12-diff-60h-1pFA+EGS-Input-60h-11132	Myo@ C2C12
C2C12-diff-60h-1pFA-Input-11610	Myo@ C2C12
C2C12-diff-60h-myogenin-12152	Myo@ C2C12
C2C12-diff-60h-myogenin-10598	Myo@ C2C12
C2C12-diff-60h-myogenin-10158	Myo@ C2C12
C2C12-diff-60h-MyoD-10480	Myo@ C2C12
C57BL/6|DP thymocytes|CD4+, CD8+ double positive (DP) Thymocytes|Thymus	Bld@ CD4 CD8 double positive cells
Dnmt1-/-_MEFs_H3K4me3|Mouse embryonic fibroblasts (MEFs)	EmF@ MEF
Dnmt1+/+_MEFs_H3K4me3|Mouse embryonic fibroblasts (MEFs)	EmF@ MEF
Dnmt1-/-_MEFs_H3K27me3|Mouse embryonic fibroblasts (MEFs)	EmF@ MEF
Dnmt1+/+_MEFs_H3K27me3|Mouse embryonic fibroblasts (MEFs)	EmF@ MEF
C57BL/6|whole testis 10dpp|testis	Gon@ Testis
C57BL/6|whole testis 6dpp|testis	Gon@ Testis
myotubes	Myo@ Myotube
mouse pre-iPSC input|fibroblast derived partially reprogrammed cells	PSC@ iPS cells
mouse ESC input|mouse embryonic stem cells	PSC@ Embryonic Stem Cells
mouse pre-iPSC / Cbx3 IP|fibroblast derived partially reprogrammed cells	PSC@ iPS cells
mouse ESC / Cbx3 IP|mouse embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6|Sperm	Gon@ Sperm
129SV|Epididymal White Adipose Tissue|Epididymal White Adipose Tissue	Adp@ White adipocytes
129SV|Brown Adipose Tissue|Brown Adipose Tissue	Adp@ Brown adipocytes
C57BL/6|Spermatids|Spermatids	Gon@ Spermatids
C57BL/6|Spermatocytes|Spermatocytes	Gon@ Spermatocytes
C57BL/6|Testis|Testis	Gon@ Testis
C57BL/6|Brain|Brain	Neu@ Brain
C57BL/6J|Input_ChIRP-seq|brain	Neu@ Brain
B6(Cg)-Snord116tm1.1Uta/J|Snord116del_brain_NSC_ChIRP-seq|brain	Neu@ Brain
B6(Cg)-Snord116tm1.1Uta/J|Snord116del_brain_116HG_ChIRP-seq|brain	Neu@ Brain
C57BL/6J|WT_brain_NSC_ChIRP-seq|brain	Neu@ Brain
C57/DBA F1 hybrid|Veh|hippocampus	Neu@ Hippocampus
C57/DBA F1 hybrid|nave_H3K4me3_ChIPseq|hippocampus	Neu@ Hippocampus
F9|F9 cells|Embryonic carcinoma cell line|Undifferentiated	PSC@ F9
mixed 129/B6|lung adenocarcinoma|lung|adenocarcinoma	Lng@ Lung adenocarcinoma
129S4/Svjae|Mouse ES cells with BirA ligase|ESC	PSC@ Embryonic Stem Cells
129S4/Svjae|Biotinylated Jmjd2c mouse ES cells, with BirA ligase|ESC	PSC@ Embryonic Stem Cells
129S4/Svjae|Biotinylated Jmjd2b mouse ES cells, with BirA ligase|ESC	PSC@ Embryonic Stem Cells
C2C12	Myo@ C2C12
spinal cord at embryonic day 12.5|spinal cord	Emb@ Neural tube
Flk1+ BL-CFCs isolated from day 4 embryoid bodies	PSC@ Embryoid Bodies
hemangioblast  equivalent cells|Flk1+ BL-CFCs isolated from day 4 embryoid bodies	PSC@ Embryoid Bodies
129/C57BL/6|mouse postnatal (P0) cortex|mouse cortex|P0	Neu@ Cerebellar Cortex
129/C57BL/6|Mouse embryonic day 11.5 (e11.5) forebrain|mouse forebrain|e11.5	Emb@ Embryonic brains
C57BL/6:129 SvJae F1|Day2 differentiating rtta ESCs, H3K4me1 ChIP|Day2 differentiating rtta ESCs	PSC@ mESCs, differentiated
C57BL/6:129 SvJae F1|Day2 differentiating Teto-Brn2 ESCs, H3K4me1 ChIP|Day2 differentiating Teto-Brn2 ESCs	PSC@ mESCs, differentiated
C57BL/6:129 SvJae F1|Embryonic stem cells, Sox2 ChIP|embryonic stem cells (ESCs)	PSC@ Embryonic Stem Cells
C57BL/6:129 SvJae F1|ES-derived neural progenitor cells, WCE|ES-derived neural progenitor cells (NPCs)	PSC@ mESC derived neural cells
R1|mouse ES cells, shMLL4, H2AZ ChIP|embryonic stem cells	PSC@ Embryonic Stem Cells
R1|mouse ES cells, shluc control, H2AZ ChIP|embryonic stem cells	PSC@ Embryonic Stem Cells
CMTi-1|mouse ES cells, shH2A.Z, RARa-ChIP|embryonic stem cells	PSC@ Embryonic Stem Cells
CMTi-1|mouse ES cells, shluc control, RARa-ChIP|embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL6/J (Mus m. domesticus) x JF1 (Mus m. molossinus)|E13.5 embryos derived Mouse Embryonic Fibroblasts|E13.5 embryos derived MEF	EmF@ MEF
C57BL6/J (Mus m. domesticus) x JF1 (Mus m. molossinus)|Embryonic Stem Cells|embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6|MEF|MEF	EmF@ MEF
mouse_E11.5_HL|hindlimb autopod|gestational day E11.5	Emb@ Embryonic limb
mouse_E11.5_FL|forelimb autopod|gestational day E11.5	Emb@ Embryonic limb
mouse_E10.5_HL|hindlimb|gestational day E10.5	Emb@ Embryonic limb
mouse_E10.5_FL|forelimb|gestational day E10.5	Emb@ Embryonic limb
C57BL/6J|mouse_E11.5_HL|hindlimb autopod|gestational day E11.5	Emb@ Embryonic limb
C57BL/6J|mouse_E11.5_FL|forelimb autopod|gestational day E11.5	Emb@ Embryonic limb
C57BL/6J|mouse_E10.5_HL|hindlimb|gestational day E10.5	Emb@ Embryonic limb
C57BL/6J|mouse_E10.5_FL|forelimb|gestational day E10.5	Emb@ Embryonic limb
C57BL6/J|Egr1 36h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|IgG Mock 0h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|RNA Polymerase II 168h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|RNA Polymerase II 48h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|RNA Polymerase II 36h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|RNA Polymerase II 24h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|RNA Polymerase II 16h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|RNA Polymerase II 8h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|RNA Polymerase II 3h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|RNA Polymerase II 0h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPbeta 168h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPbeta 48h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPbeta 36h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPbeta 24h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPbeta 16h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPbeta 8h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPbeta 3h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPbeta 0h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPalpha 168h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPalpha 48h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPalpha 36h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPalpha 24h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPalpha 16h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPalpha 8h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPalpha 3h|Total hepatectomized liver	Liv@ Liver
C57BL6/J|C/EBPalpha 0h|Total hepatectomized liver	Liv@ Liver
C57BL/6|Bone Marrow Tet2 Ko	Bld@ Bone Marrow Cells
C57BL/6|Bone Marrow Tet2 Wt	Bld@ Bone Marrow Cells
CD1|MEP|MEP|liver	Bld@ Myeloid Cells
CD1|GMP|GMP|liver	Bld@ Granulocyte-Macrophage Progenitor Cells
CD1|CMP|CMP|liver	Bld@ Myeloid Cells
Tot2 cells, MSCV-IRF8 transduced, Day3|Myeloid progenitor cells	Bld@ Tot2
Primary bone marrow-derived macrophages, IFNg for 4hrs, Stat1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, LPS for 4hrs, JunB ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, no treatment, JunB ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IFNg for 2hrs, Stat1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IFNg for 1hrs, Stat1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IFNg for 30min, Stat1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IFNg for 2hrs, PU.1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IFNg for 1hrs, PU.1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IFNg for 30min, PU.1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IFNg for 2hrs, H3K4me1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IFNg for 1hrs, H3K4me1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IFNg for 30min, H3K4me1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 4hrs, Stat6 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 2hrs, Stat6 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 1hrs, Stat6 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 30min, Stat6 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 15min, Stat6 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, no treatment, Stat6 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 2hrs, H3K27ac ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 1hrs, H3K27ac ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 30min, H3K27ac ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 15min, H3K27ac ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 2hrs, H3K4me1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 1hrs, H3K4me1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 30min, H3K4me1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 15min, H3K4me1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IFNg for 24hrs, then washed, H3K4me1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IFNg for 72hrs, H3K4me1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 24hrs, then washed, H3K4me1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
Primary bone marrow-derived macrophages, IL4 for 72hrs, H3K4me1 ChIP|bone marrow-derived macrophages (7th day of differentiation)	Bld@ Macrophages
E14Tg2A|H3K27me3-ShPhf19_ChIPSeq|embryonic stem cells	PSC@ Embryonic Stem Cells
E14Tg2A|H3K27me3-ShRd_ChIPSeq|embryonic stem cells	PSC@ Embryonic Stem Cells
E14Tg2A|Suz12_ChIPSeq|embryonic stem cells	PSC@ Embryonic Stem Cells
E14Tg2A|H3K36me2_ChIPSeq|embryonic stem cells	PSC@ Embryonic Stem Cells
E14Tg2A|H3K36me3_ChIPSeq|embryonic stem cells	PSC@ Embryonic Stem Cells
BAT-derived adipocytes	Adp@ Brown adipocytes
eWAT-derived adipocytes	Adp@ White adipocytes
C57BL/6|input DNA|Liver	Liv@ Liver
CD1(ICR)|TS cells_H3 M|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
CD1(ICR)|TS cells_H3 S|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
CD1(ICR)|TS cells_H3 G1|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
CD1(ICR)|TS cells_CTCF M|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
CD1(ICR)|TS cells_CTCF S|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
CD1(ICR)|TS cells_CTCF G1|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
CD1(ICR)|TS cells_Input M|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
CD1(ICR)|TS cells_Input S|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
CD1(ICR)|TS cells_Input G1|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
CD1(ICR)|TS cells_reChIP H2A M|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
CD1(ICR)|TS cells_reChIP H2A S|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
CD1(ICR)|TS cells_reChIP H2A G1|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
CD1(ICR)|TS cells_H2A.Z M|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
CD1(ICR)|TS cells_H2A.Z S|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
CD1(ICR)|TS cells_H2A.Z G1|trophoblast stem (TS) cells|blastocysts	Plc@ Trophoblast stem cells
ES_Dex-_DKO_ChIPSeq|embryonic stem (ES) cells	PSC@ Embryonic Stem Cells
ES_Dex-_Wild-type_ChIPSeq|embryonic stem (ES) cells	PSC@ Embryonic Stem Cells
Flk1+Dex+DKO_ChIPSeq|sorted Flk1+ mesoderm progenitor cells (ES-derived)	PSC@ mESC derived mesodermal cells
Flk1+Dex+Wild-type_ChIPSeq|sorted Flk1+ mesoderm progenitor cells (ES-derived)	PSC@ mESC derived mesodermal cells
Th9 cells, STAT6 ChIP|Th9|spleen	Bld@ Th9
Th9 cells, STAT5B ChIP|Th9|spleen	Bld@ Th9
Th9 cells|Th9|spleen	Bld@ Th9
Fibroblast|C57BL/6|Fibroblast|Fibroblast|Adult 8 weeks	Oth@ Fibroblast
Retina|C57BL/6|Retina|Retina|Adult 1 week	Oth@ Retina
SkMuscle|C57BL/6|SkMuscle|Skeletal Muscle|Adult 8 weeks	Myo@ Muscle, Skeletal
LgIntestine|C57BL/6|LgIntestine|Large Intestine|Adult 8 weeks	Dig@ Intestines
WholeBrain|C57BL/6|WholeBrain|Whole Brain|Embryonic day 18.5	Emb@ Embryonic brains
HindlimbBud|CD-1|HindlimbBud|embryo hindlimb buds|Embryonic day 11.5	Emb@ Embryonic limb
Mesoderm|CD-1|Mesoderm|axial somatic and lateral plate mesoderm from eviscerated headless, limbless embryos|Embryonic day 11.5	Emb@ Lateral plate
Retina|C57BL/6|Retina|Retina|Adult 8 weeks	Oth@ Retina
ForelimbBud|CD-1|ForelimbBud|embryo forelimb buds|Embryonic day 11.5	Emb@ Embryonic limb
GenitalFatPad|C57BL/6|GenitalFatPad|Genital Adipose tissue|Adult 8 weeks	Adp@ FatPad
HeadlessEmbryo|CD-1|HeadlessEmbryo|Whole embryos with heads removed|Embryonic day 11.5	Emb@ Embryonic trunk
Patski|Spretus.BL6-Xist|Patski|Mouse Embryonic Kidney Fibroblast. As described in Lingenfelter et al., 1998 (Nat Genet. 1998 18:212-3) and Yang et al., 2010 (Genome Res.  2010 20:614-22), PATSKI is a female interspecific mouse fibroblast that was derived from the embryonic  kidney of an M.spretus x C57BL/6J hybrid mouse such that the C57Bl/6J X chromosome (maternal) is  always the inactive X. This is an adherent cell line.|Immortal cells	Kid@ Patski
Cerebrum|C57BL/6|Cerebrum|Cerebrum|Adult 8 weeks	Neu@ Cerebellum
FatPad|C57BL/6|FatPad|Adipose tissue|Adult 8 weeks	Adp@ FatPad
Liver|129|Liver|Liver|Embryonic day 14.5	Emb@ Embryobic liver
Liver|129.DLCR/DLCR|Liver|Liver|Embryonic day 14.5	Emb@ Embryobic liver
ES-WW6_F1KO|Unknown|ES-WW6_F1KO|Histone H1c, H1d, H1e triple null mouse embryonic stem cell line derived from ES-WW6 cells.|Embryonic day 0 (stem cell)	PSC@ Embryonic Stem Cells
ES-WW6|Unknown|ES-WW6|ES-cells isolated from mix of ~20% C57/B6J, ~75% 129/Sv and ~5% SJL strains|Embryonic day 0 (stem cell)	PSC@ Embryonic Stem Cells
EPC_(CD117+,CD71+,TER119-)|CD-1|EPC_(CD117+,CD71+,TER119-)|liver fraction CD117+,CD71+,TER119-|Embryonic day 14.5	Emb@ Embryobic liver
EPC_(CD117+,CD71+,TER119+)|CD-1|EPC_(CD117+,CD71+,TER119+)|liver fraction CD117+,CD71+,TER119+|Embryonic day 14.5	Emb@ Embryobic liver
EPC_(CD117-,CD71+,TER119+)|CD-1|EPC_(CD117-,CD71+,TER119+)|liver fraction CD117-,CD71+,TER119+|Embryonic day 14.5	Emb@ Embryobic liver
EPC_(CD117+,CD71-,TER119-)|CD-1|EPC_(CD117+,CD71-,TER119-)|liver fraction CD117+,CD71-,TER119-|Embryonic day 14.5	Emb@ Embryobic liver
129/C57BL/6|mouse_e11.5_heart_control|Mouse embryonic day 11.5 (e11.5) heart	Emb@ Embryonic heart
129/C57BL/6|mouse_e11.5_heart_smarca4-flag|Mouse embryonic day 11.5 (e11.5) heart	Emb@ Embryonic heart
129/C57BL/6|mouse_e11.5_hindbrain_smarca4-flag|Mouse embryonic day 11.5 (e11.5) forebrain	Emb@ Embryonic brains
129/C57BL/6|mouse_ESC_smarca4-flag|Mouse embryonic stem cells	PSC@ Embryonic Stem Cells
E14|Embryonic stem cells, Kdm2b shRNA, input|embryonic stem cells (ESCs)	PSC@ Embryonic Stem Cells
E14|Embryonic stem cells, Kdm2b shRNA, Kdm2b ChIP|embryonic stem cells (ESCs)	PSC@ Embryonic Stem Cells
E14|Embryonic stem cells, Kdm2b shRNA, Ring1b ChIP|embryonic stem cells (ESCs)	PSC@ Embryonic Stem Cells
E14|Embryonic stem cells, control shRNA, input|embryonic stem cells (ESCs)	PSC@ Embryonic Stem Cells
E14|Embryonic stem cells, control shRNA, Kdm2b ChIP|embryonic stem cells (ESCs)	PSC@ Embryonic Stem Cells
E14|Embryonic stem cells, control shRNA, Ring1b ChIP|embryonic stem cells (ESCs)	PSC@ Embryonic Stem Cells
V6.5|Embryonic stem cells, WT, input|embryonic stem cells (ESCs)	PSC@ Embryonic Stem Cells
V6.5|Embryonic stem cells, WT, Kdm2b ChIP|embryonic stem cells (ESCs)	PSC@ Embryonic Stem Cells
V6.5|Embryonic stem cells, WT, Kdm2a ChIP|embryonic stem cells (ESCs)	PSC@ Embryonic Stem Cells
CD4 Cbfb ChIP|CD4+ Foxp3-negative T cells|Primary Mouse T cells isolated ex-vivo and sorted	Bld@ CD4-Positive T-Lymphocytes
Treg Cbfb ChIP|Foxp3-positive CD4+ T cells|Primary Mouse T cells isolated ex-vivo and sorted	Bld@ CD4-Positive T-Lymphocytes
CD4 Ets1 ChIP|CD4+ Foxp3-negative T cells|Primary Mouse T cells isolated ex-vivo and sorted	Bld@ CD4-Positive T-Lymphocytes
Treg Ets1 ChIP|Foxp3-positive CD4+ T cells|Primary Mouse T cells isolated ex-vivo and sorted	Bld@ CD4-Positive T-Lymphocytes
CD4 Elf1 ChIP|CD4+ Foxp3-negative T cells|Primary Mouse T cells isolated ex-vivo and sorted	Bld@ CD4-Positive T-Lymphocytes
Treg Elf1 ChIP|Foxp3-positive CD4+ T cells|Primary Mouse T cells isolated ex-vivo and sorted	Bld@ CD4-Positive T-Lymphocytes
Tbet -/- Th1 cells|Th1	Bld@ Th1
Th1 cells|Th1	Bld@ Th1
T cells|T-cell	Bld@ T-Lymphocytes
C57BL/6J|primary CD4+ T cells from spleen and lymph nodes|Th0	Bld@ CD4-Positive T-Lymphocytes
C57BL/6J|primary CD4+ T cells from spleen and lymph nodes|in vitro polarized T helper1 cells for 5 days with T-bet overexpression.	Bld@ CD4-Positive T-Lymphocytes
C57BL/6J|primary CD4+ T cells from spleen and lymph nodes|in vitro polarized T helper1 cells for 5 days with T-bet overexpression	Bld@ CD4-Positive T-Lymphocytes
nTreg cells, Foxo1tagBirA mice|nTreg, Foxo1tagBirA strepdavidin Input	Bld@ T-Lymphocytes, Regulatory
nTreg cells|nTreg, Foxo1 Ab Input	Bld@ T-Lymphocytes, Regulatory
nTreg cells, Foxo1tagBirA mice|nTreg, Foxo1tagBirA strepdavidin ChIP	Bld@ T-Lymphocytes, Regulatory
nTreg cells|nTreg, Foxo1 Ab, ChIP	Bld@ T-Lymphocytes, Regulatory
Definitive endoderm cells|ES-derived definitive endoderm cells	PSC@ mESC derived endoodermal cells
si23 10T1/2|10T1/2 cells knockdown Med23	EmF@ C3H/10T1/2
sictrl 10T1/2|10T1/2 cells knockdown control	EmF@ C3H/10T1/2
129P2/OlaHsd|differentiating murine hematopoietic cells|ES cells	PSC@ mESC derived haematopoietic progenitor
CD4+ T cells, input|primary CD4+ Tconv cells|lymph node	Bld@ CD4-Positive T-Lymphocytes
CD4+ T cells, FLAG-FoxP3+GATA1, Pol II ChIP|primary CD4+ Tconv cells|lymph node	Bld@ CD4-Positive T-Lymphocytes
CD4+ T cells, FLAG-FoxP3, FLAG ChIP|primary CD4+ Tconv cells|lymph node	Bld@ CD4-Positive T-Lymphocytes
CD4+ T cells, FLAG-FoxP3+GATA1, FLAG ChIP|primary CD4+ Tconv cells|lymph node	Bld@ CD4-Positive T-Lymphocytes
C57BL/6|fresh liver tissue|Liver	Liv@ Liver
Input DNA|NKC pancreatic cancer cells	Pan@ Pancreatic cancer cells
NFATc1-ChIP-Seq-shSTAT3|NKC pancreatic cancer cells	Pan@ Pancreatic cancer cells
NFATc1-ChIP-Seq-scramble|NKC pancreatic cancer cells	Pan@ Pancreatic cancer cells
Tfe3.3, 2i|embryonic stem cell	PSC@ Embryonic Stem Cells
Flcn.4, 2i|embryonic stem cell	PSC@ Embryonic Stem Cells
post mitotic neuronal cells|ES-derived post mitotic neuronal cells	PSC@ mESC derived neural cells
129/Ola|E36 ES cells|E36 ES cells (Abcam, cat No:4729, Lot: GR55451-1)	PSC@ Embryonic Stem Cells
Ainv15 (ATCC SCRC-1029) with Dox-inducible FLAG-Cdx2 construct where amino acids 1-59 have been removed from the Cdx2 gene|embryonic stem cells	PSC@ Embryonic Stem Cells
Ainv15 (ATCC SCRC-1029) with Dox-inducible Cdx2-V5 construct|embryonic stem cells	PSC@ Embryonic Stem Cells
Ainv15 (ATCC SCRC-1029) with Dox-inducible Cdx2-V5 construct|Day 5 cells	PSC@ mESCs, differentiated
F1 B/C trophoblast stem cells|F1 B/C trophoblast stem cells	Plc@ Trophoblast stem cells
MEF-like|Mouse embryonic fibroblast cell line	EmF@ MEF
mESC J1|Mouse Embryonic Stem cells	PSC@ Embryonic Stem Cells
NIH 3T3|Mouse embryonic fibroblast cell line	EmF@ NIH/3T3
129SVJae x C57BL6|acH2AZ_mNP_ChIPSeq|ES-derived neural progenitor cells	PSC@ mESC derived neural cells
129SVJae x C57BL6|H2AZ_mNP_ChIPSeq|ES-derived neural progenitor cells	PSC@ mESC derived neural cells
129SVJae x C57BL6|RNAPII_mES_ChIPSeq|Pluripotent embryonic stem cells	PSC@ Embryonic Stem Cells
129SVJae x C57BL6|TFIID_mES_ChIPSeq|Pluripotent embryonic stem cells	PSC@ Embryonic Stem Cells
129SVJae x C57BL6|acH2AZ_mES_ChIPSeq|Pluripotent embryonic stem cells	PSC@ Embryonic Stem Cells
129SVJae x C57BL6|H2AZ_mES_ChIPSeq|Pluripotent embryonic stem cells	PSC@ Embryonic Stem Cells
C57BL/6|Mouse ES-cells|ES|N.D.	PSC@ Embryonic Stem Cells
C57BL/6|DP T-cells|Double Positive Thymocytes|Thymus	Bld@ Thymocytes
mouse embryonic stem cells (E14)|mouse embryonic stem cells (E14)|Day 6	PSC@ Embryonic Stem Cells
mouse embryonic stem cells (E14)|mouse embryonic stem cells (E14)|Day 4	PSC@ Embryonic Stem Cells
mouse embryonic stem cells (E14)|mouse embryonic stem cells (E14)|Day 0	PSC@ Embryonic Stem Cells
