NoAb	NoD@ NA
CTCF 14-16 hr OR Emb Input expt.1962	InP@ Input control
CTCF 14-16 hr OR Emb Input expt.1823	InP@ Input control
Chro Chriz WR 14-16 hr OR Emb ChIP expt.1721	Oth@ Chro
Chro Chriz WR 14-16 hr OR Emb ChIP expt.1711	Oth@ Chro
Chro Chriz WR 14-16 hr OR Emb Input expt.1730	InP@ Input control
Chro Chriz WR 14-16 hr OR Emb Input expt.1729	InP@ Input control
H3K23ac OR Head Nuc ChIP expt.2206	His@ H3K23ac
H3K23ac OR Head Nuc ChIP expt.2205	His@ H3K23ac
H3K23ac OR Head Nuc Input expt.2188	InP@ Input control
H3K23ac OR Head Nuc Input expt.2187	InP@ Input control
H3K4me2-Active motif L3 Nuc ChIP expt.2335	His@ H3K4me2
H3K4me2-Active motif L3 Nuc ChIP expt.2334	His@ H3K4me2
H3K4me2-Active motif L3 Nuc Input expt.2331	InP@ Input control
H3K4me2-Active motif L3 Nuc Input expt.2330	InP@ Input control
H3K9me2 antibody2 L3 Nuc ChIP expt.2268	His@ H3K9me2
H3K9me2 antibody2 L3 Nuc ChIP expt.2267	His@ H3K9me2
H3K9me2 antibody2 L3 Nuc Input expt.2230	InP@ Input control
H3K9me2 antibody2 L3 Nuc Input expt.2223	InP@ Input control
H2AV 9751 L3 Nuc ChIP expt.2389	His@ H2A.V
H2AV 9751 L3 Nuc ChIP expt.2388	His@ H2A.V
H2AV 9751 L3 Nuc Input expt.2317	InP@ Input control
H2AV 9751 L3 Nuc Input expt.2316	InP@ Input control
H3K9me3 new lot L3 Nuc ChIP expt.2264	His@ H3K9me3
H3K9me3 new lot L3 Nuc ChIP expt.2263	His@ H3K9me3
H3K9me3 new lot L3 Nuc Input expt.2229	InP@ Input control
H3K9me3 new lot L3 Nuc Input expt.2228	InP@ Input control
H3K23ac L3 Nuc ChIP expt.2240	His@ H3K23ac
H3K23ac L3 Nuc ChIP expt.2239	His@ H3K23ac
H3K23ac L3 Nuc Input expt.2224	InP@ Input control
H3K23ac L3 Nuc Input expt.2222	InP@ Input control
H3K36me3 14-16 hr OR Emb ChIP expt.1719	His@ H3K36me3
H3K36me3 14-16 hr OR Emb ChIP expt.1709	His@ H3K36me3
H3K36me3 14-16 hr OR Emb Input expt.1730	InP@ Input control
H3K36me3 14-16 hr OR Emb Input expt.1729	InP@ Input control
H3K9ac OR Head Nuc ChIP expt.2208	His@ H3K9ac
H3K9ac OR Head Nuc ChIP expt.2207	His@ H3K9ac
H3K9ac OR Head Nuc Input expt.2188	InP@ Input control
H3K9ac OR Head Nuc Input expt.2187	InP@ Input control
H4K20me1 3rd lot L3 Nuc ChIP expt.2391	His@ H4K20me1
H4K20me1 3rd lot L3 Nuc ChIP expt.2390	His@ H4K20me1
H4K20me1 3rd lot L3 Nuc Input expt.2317	InP@ Input control
H4K20me1 3rd lot L3 Nuc Input expt.2316	InP@ Input control
H3K18Ac new lot OR Head Nuc ChIP expt.2210	His@ H3K18ac
H3K18Ac new lot OR Head Nuc ChIP expt.2209	His@ H3K18ac
H3K18Ac new lot OR Head Nuc Input expt.2186	InP@ Input control
H3K18Ac new lot OR Head Nuc Input expt.2183	InP@ Input control
H3K79me2 Abcam ab3594 lot 1 14-16 hr OR Emb ChIP expt.1978	His@ H3K79me2
H3K79me2 Abcam ab3594 lot 1 14-16 hr OR Emb ChIP expt.1970	His@ H3K79me2
H3K79me2 Abcam ab3594 lot 1 14-16 hr OR Emb Input expt.1962	InP@ Input control
H3K79me2 Abcam ab3594 lot 1 14-16 hr OR Emb Input expt.1961	InP@ Input control
HP4 Q4072 14-16 hr OR Emb ChIP expt.1650	Oth@ HP4
HP4 Q4072 14-16 hr OR Emb ChIP expt.1649	Oth@ HP4
HP4 Q4072 14-16 hr OR Emb Input expt.1656	InP@ Input control
HP4 Q4072 14-16 hr OR Emb Input expt.1655	InP@ Input control
Suvar 3-7 Q3448 14-16 hr OR Emb ChIP expt.2035	Oth@ Su(var)3-7
Suvar 3-7 Q3448 14-16 hr OR Emb ChIP expt.2034	Oth@ Su(var)3-7
Suvar 3-7 Q3448 14-16 hr OR Emb Input expt.2025	InP@ Input control
Suvar 3-7 Q3448 14-16 hr OR Emb Input expt.2024	InP@ Input control
H3K36me1 L3 Nuc ChIP expt.2401	His@ H3K36me1
H3K36me1 L3 Nuc ChIP expt.2400	His@ H3K36me1
H3K36me1 L3 Nuc Input expt.2404	InP@ Input control
H3K36me1 L3 Nuc Input expt.2402	InP@ Input control
H3K36me3 abcam L3 Nuc ChIP expt.2260	His@ H3K36me3
H3K36me3 abcam L3 Nuc ChIP expt.2259	His@ H3K36me3
H3K36me3 abcam L3 Nuc Input expt.2226	InP@ Input control
H3K36me3 abcam L3 Nuc Input expt.2225	InP@ Input control
H3K9me2 Ab2 new lot 14-16 hr OR Emb ChIP expt.2039	His@ H3K9me2
H3K9me2 Ab2 new lot 14-16 hr OR Emb ChIP expt.2038	His@ H3K9me2
H3K9me2 Ab2 new lot 14-16 hr OR Emb Input expt.2025	InP@ Input control
H3K9me2 Ab2 new lot 14-16 hr OR Emb Input expt.2024	InP@ Input control
H3K9me3 abcam 14-16 hr OR Emb ChIP expt.2077	His@ H3K9me3
H3K9me3 abcam 14-16 hr OR Emb ChIP expt.2076	His@ H3K9me3
H3K9me3 abcam 14-16 hr OR Emb Input expt.1656	InP@ Input control
H3K9me3 abcam 14-16 hr OR Emb Input expt.1655	InP@ Input control
H4K16acM 14-16 hr OR Emb ChIP expt.1720	His@ H4K16ac
H4K16acM 14-16 hr OR Emb ChIP expt.1710	His@ H4K16ac
H4K16acM 14-16 hr OR Emb Input expt.1730	InP@ Input control
H4K16acM 14-16 hr OR Emb Input expt.1729	InP@ Input control
H4K20me1 3rd lot OR Head Nuc ChIP expt.2275	His@ H4K20me1
H4K20me1 3rd lot OR Head Nuc ChIP expt.2274	His@ H4K20me1
H4K20me1 3rd lot OR Head Nuc Input expt.2271	InP@ Input control
H4K20me1 3rd lot OR Head Nuc Input expt.2270	InP@ Input control
HP1 wa191 L3 Nuc ChIP expt.2266	Oth@ Su(var)205
HP1 wa191 L3 Nuc ChIP expt.2265	Oth@ Su(var)205
HP1 wa191 L3 Nuc Input expt.2229	InP@ Input control
HP1 wa191 L3 Nuc Input expt.2228	InP@ Input control
H3K9me3 new lot OR Head Nuc ChIP expt.2216	His@ H3K9me3
H3K9me3 new lot OR Head Nuc ChIP expt.2215	His@ H3K9me3
H3K9me3 new lot OR Head Nuc Input expt.2212	InP@ Input control
H3K9me3 new lot OR Head Nuc Input expt.2211	InP@ Input control
14-16 hr OR Emb H3K36me1 expt.1724	His@ H3K36me1
14-16 hr OR Emb H3K36me1 expt.1714	His@ H3K36me1
14-16 hr OR Emb Input expt.1730	InP@ Input control
14-16 hr OR Emb Input expt.1729	InP@ Input control
H3K79Me1 14-16 hr OR Emb ChIP expt.1955	His@ H3K79me1
H3K79Me1 14-16 hr OR Emb ChIP expt.1826	His@ H3K79me1
H3K79Me1 14-16 hr OR Emb Input expt.1961	InP@ Input control
H3K79Me1 14-16 hr OR Emb Input expt.1823	InP@ Input control
H3K27Ac 14-16 hr OR Emb ChIP expt.1969	His@ H3K27ac
H3K27Ac 14-16 hr OR Emb ChIP expt.1952	His@ H3K27ac
H3K27Ac 14-16 hr OR Emb Input expt.1962	InP@ Input control
H3K27Ac 14-16 hr OR Emb Input expt.1961	InP@ Input control
GAF 14-16 hr OR Emb ChIP expt.1973	Oth@ Trl
GAF 14-16 hr OR Emb ChIP expt.1951	Oth@ Trl
GAF 14-16 hr OR Emb Input expt.1961	InP@ Input control
GAF 14-16 hr OR Emb Input expt.1823	InP@ Input control
Psc 14-16 hr OR Emb ChIP expt.1949	Oth@ Psc
Psc 14-16 hr OR Emb ChIP expt.1817	Oth@ Psc
Psc 14-16 hr OR Emb Input expt.1961	InP@ Input control
Psc 14-16 hr OR Emb Input expt.1815	InP@ Input control
CP190-HB 14-16 hr OR Emb ChIP expt.1971	Oth@ Cp190
CP190-HB 14-16 hr OR Emb ChIP expt.1963	Oth@ Cp190
CP190-HB 14-16 hr OR Emb Input expt.1962	InP@ Input control
CP190-HB 14-16 hr OR Emb Input expt.1823	InP@ Input control
SU(HW)-HB 14-16 hr OR Emb ChIP expt.1965	Oth@ su(Hw)
SU(HW)-HB 14-16 hr OR Emb ChIP expt.1824	Oth@ su(Hw)
SU(HW)-HB 14-16 hr OR Emb Input expt.1962	InP@ Input control
SU(HW)-HB 14-16 hr OR Emb Input expt.1823	InP@ Input control
Pc 14-16 hr OR Emb ChIP expt.1948	Oth@ Pc
Pc 14-16 hr OR Emb ChIP expt.1816	Oth@ Pc
Pc 14-16 hr OR Emb Input expt.1815	InP@ Input control
Pc 14-16 hr OR Emb Input expt.1961	InP@ Input control
HP1 wa191 14-16 hr OR Emb ChIP expt.2027	Oth@ Su(var)205
HP1 wa191 14-16 hr OR Emb ChIP expt.2026	Oth@ Su(var)205
HP1 wa191 14-16 hr OR Emb ChIP expt.1916	Oth@ Su(var)205
HP1 wa191 14-16 hr OR Emb ChIP expt.1914	Oth@ Su(var)205
HP1 wa191 14-16 hr OR Emb Input expt.2025	InP@ Input control
HP1 wa191 14-16 hr OR Emb Input expt.2024	InP@ Input control
HP1 wa191 14-16 hr OR Emb Input expt.1915	InP@ Input control
HP1 wa191 14-16 hr OR Emb Input expt.1913	InP@ Input control
H3K27me3 14-16 hr OR Emb ChIP expt.1957	His@ H3K27me3
H3K27me3 14-16 hr OR Emb ChIP expt.1820	His@ H3K27me3
H3K27me3 14-16 hr OR Emb Input expt.1961	InP@ Input control
H3K27me3 14-16 hr OR Emb Input expt.1815	InP@ Input control
H3K9me2 antibody2 S2 ChIP expt.742	His@ H3K9me2
H3K9me2 antibody2 S2 ChIP expt.568	His@ H3K9me2
H3K9me2 antibody2 S2 Input expt.741	InP@ Input control
H3K9me2 antibody2 S2 Input expt.567	InP@ Input control
CG9740|IP|S2 cells	Oth@ Ibf2
CG8436|IP|S2 cells	Oth@ Ibf1
CP190|IP|S2 cells	Oth@ Cp190
none|Input|S2 cells	InP@ Input control
no antibody (input control)|S2 cell line ChIP; Input	InP@ Input control
ovary shWhite PolII Input	InP@ Input control
Anti-RNA polymerase II CTD repeat YSPTSPS (phospho S) antibody clone 4H8|ovary shWhite H3K9me3	Pol@ RNA polymerase II
ovary shWhite Input H3K9me3	InP@ Input control
ovary shPiwi PolII Input	InP@ Input control
ovary shPiwi H3K9me3 Input	InP@ Input control
ovary shWhite Input	InP@ Input control
Anti-Histone H3 (tri methyl K9) antibody|ovary shWhite H3K9me3	His@ H3K9me3
ovary shPiwi Input	InP@ Input control
H3K9me3 (Abcam, ab8898)|ChIP-seq H3K9me3 nos-GAL4-&gt;piwi	His@ H3K9me3
none (input)|ChIP-seq input nos-GAL4-&gt;piwi	InP@ Input control
H3K9me3 (Abcam, ab8898)|ChIP-seq H3K9me3 nos-GAL4-&gt;white	His@ H3K9me3
none (input)|ChIP-seq input nos-GAL4-&gt;white	InP@ Input control
H3K9me3 (Abcam, ab8898)|ChIP-seq H3K9me3 Tj-GAL4-&gt;piwi	His@ H3K9me3
none (input)|ChIP-seq input Tj-GAL4-&gt;piwi	InP@ Input control
H3K9me3 (Abcam, ab8898)|ChIP-seq H3K9me3 Tj-GAL4-&gt;white	His@ H3K9me3
none (input)|ChIP-seq input Tj-GAL4-&gt;white	InP@ Input control
none (input)|Eye/antennal imaginal discs, scrib mutant input	InP@ Input control
none (input)|Eye/antennal imaginal discs input	InP@ Input control
anti-Abrupt (a polyclonal rabbit antibody from Steven Crews)|Eye/antennal imaginal discs, scrib mutant ChIP	Oth@ ab
anti-Abrupt (a polyclonal rabbit antibody from Steven Crews)|Eye/antennal imaginal discs ChIP	Oth@ ab
none|Female late embryo-derived cell line, input	InP@ Input control
rabbit polyclonal antibody to both isoforms of Fs(1)h|Female late embryo-derived cell line, ChIP of both isoforms of Fs(1)h	Oth@ fs(1)h
rabbit polyclonal antibody specific to Fs(1)h long isoform|Female late embryo-derived cell line, ChIP of Fs(1)h long isoform	Oth@ fs(1)h
Su(Hw)|S3 cells	Oth@ su(Hw)
Su(Hw)|S2 cells	Oth@ su(Hw)
KC_WT_LateSphase_2	Unc@ Unclassified
KC_WT_MidLateSphase_2	Unc@ Unclassified
KC_WT_MidEarlySphase_2	Unc@ Unclassified
KC_WT_EarlySphase_2	Unc@ Unclassified
KC_WT_LateSphase_1	Unc@ Unclassified
KC_WT_MidLateSphase_1	Unc@ Unclassified
KC_WT_MidEarlySphase_1	Unc@ Unclassified
KC_WT_EarlySphase_1	Unc@ Unclassified
(rb) -Rpb1 (#828+829, Ali Shilatifard)|Schneider's Drosophila Line 2; S2 cells	Pol@ RpII215
(rb) -Trr (#570, Ali Shilatifard)|Schneider's Drosophila Line 2; S2 cells	Oth@ trr
Cabut|Wing imaginal discs	Oth@ cbt
Brinker|Wing imaginal discs	Oth@ brk
Mod(mdg4)2.2, rabbit|BG3 cells	Oth@ mod(mdg4)
Mod(mdg4)2.2, guinea pig|BG3 cells	Oth@ mod(mdg4)
Shep, rabbit|BG3 cells	Oth@ shep
Shep, guinea pig|BG3 cells	Oth@ shep
Su(Hw)|BG3 cells	Oth@ su(Hw)
none|BG3 cells	InP@ Input control
Anti Twist|Input DNA	Oth@ twi
anti-GAF|S2 cells depleted of GAF by RNAi	Oth@ Trl
anti-GAF|untreated S2 cells	Oth@ Trl
POLIISER2 anti-PolIIS2P|ab5095|wing imaginal discs	Pol@ RNA polymerase II
POLIISER5 anti-PolIIS5P|ab5131|wing imaginal discs	Pol@ RNA polymerase II
Myc (sc-28208)|Kc cells in mitosis	Oth@ dm
Myc (sc-28208)|Kc cells in interphase	Oth@ dm
none|S2R+ cells	InP@ Input control
anti-Yki|Wing imaginal disc ChIP; Iso1 strain; Yki antibody	Oth@ yki
None|8-16hr embryo Input chromatin; Iso1 strain; no antibody	InP@ Input control
Cl8-PolII_ChipSeq_IP2	Pol@ RNA polymerase II
Cl8-PolII_ChipSeq_IP1	Pol@ RNA polymerase II
Cl8-PolII_ChipSeq_Input	InP@ Input control
Cl8-ORC_ChIP-Seq_IP4	Oth@ Orc2
Cl8-ORC_ChIP-Seq_IP3	Oth@ Orc2
Cl8-ORC_ChIP-Seq_IP2	Oth@ Orc2
Cl8-ORC_ChIP-Seq_IP1	Oth@ Orc2
Cl8-ORC_ChIP-Seq_Input	InP@ Input control
none (input)|input	InP@ Input control
Lmd2 Cunha et al. 2010 PLoS Genet 6(7): e1001014|Lmd2_ChIPSeq	Oth@ lmd
Lmd1 Cunha et al. 2010 PLoS Genet 6(7): e1001014|Lmd1_ChIPSeq	Oth@ lmd
0-2hr Embryo ORC Input	InP@ Input control
0-2hr Embryo PolII Chip-Seq	Pol@ RNA polymerase II
0-2hr Embryo PolII Input	InP@ Input control
monoclonal rat Pol S5p 3E8|RNA Pol II S5p ChIP-Seq	Pol@ RNA polymerase II
polyclonal rabbit H4K16ac, Active Motif 39167|H4K16ac ChIP-Seq	His@ H4K16ac
none|Octopaminergic neurons	InP@ Input control
H3K27Ac (Abcam: 4729)|Octopaminergic neurons	His@ H3K27ac
H3K4me3 (Abcam: 8580)|Octopaminergic neurons	His@ H3K4me3
none|Kenyon cells	InP@ Input control
H3K27me3 (Millipore: 07-449)|Kenyon cells	His@ H3K27me3
H3K27Ac (Abcam: 4729)|Kenyon cells	His@ H3K27ac
H3K4me3 (Abcam: 8580)|Kenyon cells	His@ H3K4me3
none|Head neurons	InP@ Input control
L(3)mbt|Kc cells	Oth@ l(3)mbt
Mod(mdg4)BTB|Kc cells	Oth@ mod(mdg4)
Mod(mdg4)2.2|Kc cells	Oth@ mod(mdg4)
FSH-S and FSH-L|S2-DRSC cells	Oth@ Lgr1
FSH-S|S2-DRSC cells	Oth@ Lgr1
ASH1C|S2-DRSC cells	Oth@ ash1
ASH1N|S2-DRSC cells	Oth@ ash1
H3K27acS28ph|Kc167 cells	His@ H3K27ac
H3K9acS10ph|Kc167 cells	His@ H3K9AcS10ph
JIL-1|Kc167 cells	Oth@ JIL-1
H3K27ac|Kc167 cells	His@ H3K27ac
H3K4me1|Kc167 cells	His@ H3K4me1
H3K4me3|Kc167 cells	His@ H3K4me3
Pol II (4H8, Millipore)|Pol II IP DNA from Toll10b embryos expressing the pnrenhancer-tupPr-yellow plasmid	Pol@ RNA polymerase II
none (input)|input DNA from Toll10b embryos expressing the pnrenhancer-tupPr-yellow plasmid	InP@ Input control
Pol II (4H8, Millipore)|Pol II IP DNA from gd7 embryos expressing the transgene twiBAC-Yellow	Pol@ RNA polymerase II
none (input)|input DNA from gd7 embryos expressing the transgene twiBAC-Yellow	InP@ Input control
Pol II (4H8, Millipore)|Pol II IP DNA from gd7 embryos expressing the transgene twiBAC-snaPr-Yellow	Pol@ RNA polymerase II
none (input)|input DNA from gd7 embryos expressing the transgene twiBAC-snaPr-Yellow	InP@ Input control
4-7hr PolII ChIP-Seq ChIP Oregon-R strain Replicate 3	Pol@ RNA polymerase II
4-7hr PolII ChIP-Seq ChIP Oregon-R strain Replicate 2	Pol@ RNA polymerase II
4-7hr PolII ChIP-Seq ChIP Oregon-R strain Replicate 1	Pol@ RNA polymerase II
4-7hr PolII ChIP-Seq Input Oregon-R strain	InP@ Input control
4-7hr ORC ChIP-Seq ChIP Oregon-R strain Replicate 3	Oth@ Orc2
4-7hr ORC ChIP-Seq ChIP Oregon-R strain Replicate 2	Oth@ Orc2
4-7hr_ORC ChIP-Seq ChIP Oregon-R strain Replicate 1	Oth@ Orc2
4-7hr ORC ChIP-Seq Input Oregon-R strain	InP@ Input control
sim|N/A|E0-8	Oth@ sim
sc|N/A|E0-8	Oth@ sc
Fru|N/A|E0-8	Oth@ fru
Ubx|N/A|E0-12	Oth@ Ubx
Usp|N/A|W3L	Oth@ usp
SuHw|N/A|WPP	Oth@ su(Hw)
H3K4me3|N/A|WPP	His@ H3K4me3
WPP+12	Unc@ Unclassified
USP|N/A|WPP+12	Oth@ usp
modmdg4|N/A|W3L	Oth@ mod(mdg4)
Zfh1|N/A|Kc167	Oth@ zfh1
Ttk|N/A|Kc167	Oth@ ttk
Ttk|N/A|E16-24	Oth@ ttk
TCF|N/A|E16-24	Oth@ pan
Dfd|N/A|E0-8	Oth@ Dfd
SuHw|N/A|E16-24	Oth@ su(Hw)
TCF|N/A|E0-8	Oth@ pan
Hth|N/A|E0-8	Oth@ hth
CG16778|N/A|E0-8	Oth@ lov
USP|N/A|E0-12	Oth@ usp
FAIRE|N/A|CNS	Unc@ Unclassified
CG8478|N/A|WPP	Oth@ CG8478
Stat92E|N/A|WPP	Oth@ Stat92E
psq|N/A|WPP	Oth@ psq
en|N/A|W3L	Oth@ en
Sin3A|N/A|Kc167	Oth@ Sin3A
psq|N/A|Kc167	Oth@ psq
Kr|N/A|Kc167	Oth@ Kr
dCTBP|N/A|Kc167	Oth@ CtBP
SuH|N/A|E8-16	Oth@ Su(H)
sr|N/A|E8-16	Oth@ sr
jim|N/A|E8-16	Oth@ jim
Hth|N/A|E8-16	Oth@ hth
HP1|N/A|E8-16	Oth@ Su(var)205
SuH|N/A|E16-24	Oth@ Su(H)
sr|N/A|E16-24	Oth@ sr
Fru|N/A|E16-24	Oth@ fru
CNC|N/A|E16-24	Oth@ cnc
CG16778|N/A|E16-24	Oth@ lov
dm|N/A|E0-8	Oth@ dm
br-core|N/A|E0-8	Oth@ br
sc|N/A|E0-12	Oth@ sc
Prd|N/A|E0-12	Oth@ prd
Ash2|N/A|E0-12	Oth@ ash2
CNC|N/A|AdultMale	Oth@ cnc
None|Oregon R (wild-type)	InP@ Input control
None|Toll10b mutant	InP@ Input control
None|neurons FAC sorted from dissociated embryos	InP@ Input control
H3K4me3 (ab8580, abcam)|muscle FAC sorted from dissociated embryos	His@ H3K4me3
H3K27me3 (ab6002, abcam), Pol II (CTD4H8, Millipore)|Pol II (CTD4H8, Millipore)|Oregon R (wild type)	His@ H3K27me3
H3K27me3 (ab6002, abcam)|Oregon R (wild type)	His@ H3K27me3
H3K27me3 (ab6002, abcam)|Toll10b mutant	His@ H3K27me3
H3K27me3 (ab6002, abcam)|neurons FAC sorted from dissociated embryos	His@ H3K27me3
Pol II (CTD48H, Millipore)|Oregon R (wild type)	Pol@ RNA polymerase II
Pol II (8WG16, Covance)|neurons FAC sorted from dissociated embryos	Pol@ RNA polymerase II
CNC|N/A|AdultFemale	Oth@ cnc
none|Stage 11 Drosophila embryos	InP@ Input control
gp anti-Yan|Stage 11 Drosophila embryos	Oth@ aop
anti-Su(Hw)|F_INPUT	Oth@ su(Hw)
anti-Su(Hw)|F_PREIMM	Oth@ su(Hw)
anti-Su(Hw)|F_IP	Oth@ su(Hw)
anti-Su(Hw)|WT_INPUT	Oth@ su(Hw)
anti-Su(Hw)|WT_PREIMM	Oth@ su(Hw)
anti-Su(Hw)|WT_IP	Oth@ su(Hw)
Su(Hw)|Kc cells	Oth@ su(Hw)
CNC|N/A|WPP	Oth@ cnc
in house Rabbit anti-ELL-fl (aa 1-1079)|Schneider's Drosophila Line 2	Oth@ Su(Tpl)
in house Drosophila Rpb1 antibody was raised in rabbits against the synthetic peptide ERLMKKVFTDDVIKEMTDSG(C) conjugated via cysteine to KLH|Schneider's Drosophila Line 2	Pol@ RpII215
in house Guinea Pig anti-Lilli-CT (aa 1427-1673)|Schneider's Drosophila Line 2	Oth@ lilli
in house Rabbit anti-Ice1 (CG13550, aa 1-192)|Schneider's Drosophila Line 2	Oth@ Ice1
in house Rabbit anti-ELL-MR (aa 301-584)|Schneider's Drosophila Line 2	Oth@ Su(Tpl)
orc2 (steve bell lab, MIT)|third instar salivary gland from SuUR	Oth@ Orc2
orc2 (steve bell lab, MIT)|third instar salivary gland from OrR	Oth@ Orc2
FSH_ID173 raised against protein 4.1 (recognizes FSH-L only)|DRSC-S2 cell line	Oth@ Lgr1
FSH_ID166 raised against the N-terminal, common part of FSH-S and FSH-L, protein 1.2|DRSC-S2 cell line	Oth@ Lgr1
Ash1N|DRSC-S2 cell line	Oth@ ash1
Ash1C|DRSC-S2 cell line	Oth@ ash1
Chromatin IP against H3K9me3	His@ H3K9me3
none|FACS isolated untagged neuronal cells	InP@ Input control
none|FACS isolated neuronal cells	InP@ Input control
none|FACS isolated muscle cells	InP@ Input control
FLAG|F1804|FACS isolated untagged neuronal cells	Oth@ Epitope tags
4H8|ab5408|FACS isolated muscle cells	Pol@ RNA polymerase II
FLAG|F1804|FACS isolated neuronal cells	Oth@ Epitope tags
FLAG|F1804|FACS isolated muscle cells	Oth@ Epitope tags
antiAGO2 pAb Mueller PMID:16934003|S2 cells	Oth@ AGO2
SG Orc ChIP-Seq extraction2_seq1 channel_2	Oth@ Orc2
SG Orc ChIP-Seq extraction2_seq1 channel_1	Oth@ Orc2
SG Orc ChIP-Seq extraction1_seq1 channel_2	Oth@ Orc2
SG Orc ChIP-Seq extraction1_seq1 channel_1	Oth@ Orc2
0-24h Embryo PolII ChIP-Seq extraction4_seq1 channel_1	Pol@ RNA polymerase II
0-24h Embryo PolII ChIP-Seq extraction3_seq1 channel_1	Pol@ RNA polymerase II
0-24h Embryo PolII ChIP-Seq extraction2_seq1 channel_1	Pol@ RNA polymerase II
0-24h Embryo PolII ChIP-Seq extraction1_seq1 channel_1	Pol@ RNA polymerase II
24h Embryo Orc ChIP-Seq extraction4_seq1 channel_1	Oth@ Orc2
24h Embryo Orc ChIP-Seq extraction3_seq1 channel_1	Oth@ Orc2
24h Embryo Orc ChIP-Seq extraction2_seq1 channel_1	Oth@ Orc2
24h Embryo Orc ChIP-Seq extraction1_seq1 channel_1	Oth@ Orc2
MCM S2 July 2010 extraction3_seq1 channel_1	Oth@ Mcm2
MCM S2 July 2010 extraction2_seq1 channel_1	Oth@ Mcm2
MCM S2 July 2010 extraction1_seq1 channel_1	Oth@ Mcm2
BRC	Unc@ Unclassified
core|N/A|BRC	Unc@ Unclassified
K27me3|07-449|WPP	His@ H3K27me3
Hr4_GFP|N/A|E0-12	Oth@ Hr4
KW3-Trl-D2|N/A|WPP	Oth@ Trl
E16-24h_13T	Unc@ Unclassified
exd-GFP|N/A|E16-24h_13T	Oth@ exd
Yki-91|N/A|E0-4	Oth@ yki
anti-cbt|N/A|E16-24h	Oth@ cbt
KW4-Fer3-D1|N/A|E16-24h	Oth@ Fer3
GFP|N/A|EcR_mF3d	Oth@ GFP
KW3-h-D1|N/A|E8-16h	Oth@ h
lid|wing imaginal discs, wild type, LID ChIP	Oth@ lid
anti-Bonus-GP37|N/A|E16-24h	Oth@ bon
Suvar3-9|ab4811|E0-12h	Oth@ Su(var)3-9
KW3-Kr-D2|N/A|E16-24h	Oth@ Kr
GFP|N/A|R13-E1-6h-Set2	Oth@ GFP
5T-8-16h	Unc@ Unclassified
GFP|N/A|5T-8-16h	Oth@ GFP
GFP|N/A|EcR_WPP-4-5h	Oth@ GFP
GFP|N/A|7T_W3L	Oth@ GFP
KW3-D-D2|N/A|E0-8h_D	Oth@ D
Adult-Female	Unc@ Unclassified
Trem|N/A|Adult-Female	Oth@ trem
15T_8-16_NW	Unc@ Unclassified
GFP|N/A|15T_8-16_NW	Oth@ GFP
HP1-Abcam|820130|E16-24h	Oth@ Su(var)205
HP1-Covance|14923202|E16-24h	Oth@ Su(var)205
KW3-Trl-D2|N/A|E8-16h	Oth@ Trl
KW4-Hr39-D1|N/A|E16-24h	Oth@ Hr39
ECR-WPP+90	Oth@ EcR
GFP|Custom|ECR-WPP+90	Oth@ GFP
ECR-WPP+12	Oth@ EcR
GFP|Custom|ECR-WPP+12	Oth@ GFP
GFP|Custom|E16-24h	Oth@ GFP
5T-0-6	Unc@ Unclassified
GFP|Custom|5T-0-6	Oth@ GFP
CG8478|Custom|E16-24h	Oth@ CG8478
Trl|Custom|E0-8h	Oth@ Trl
H3K4me3|DRSC-S2 cell line	His@ H3K4me3
CTCF-C|Custom|white prepupae	Oth@ CTCF
NW-GFP-Goateve|Custom|E8-16h	Oth@ eve
KW4-CG8478-D1|Custom|E8-16h	Oth@ CG8478
NW-GFP-Goateve|Custom|E1-6h	Oth@ eve
NW-GFP-GoatDfd|Custom|E0-8h	Oth@ Dfd
NW-GFP-Goattll|Custom|E0-4h	Oth@ tll
none|Wing imaginal discs, input	InP@ Input control
Pol2Ser5P|ab5131|Wing imaginal discs, Pol2Ser5P ChIP	Pol@ RNA polymerase II
Pol2Ser2P|ab5095|Wing imaginal discs, Pol2Ser2P ChIP	Pol@ RNA polymerase II
H3K36me3|ab9050|Wing imaginal discs, H3K36me3 ChIP	His@ H3K36me3
H3K27me3|07_449|Wing imaginal discs, H3K27me3 ChIP	His@ H3K27me3
H3K4me3|07_473|Wing imaginal discs, H3K4me3 ChIP	His@ H3K4me3
ASH2|ab9110|Wing imaginal discs, ASH2 ChIP	Oth@ ash2
anti-Rpb3 (subunit of Pol II)|Pol II (rpb3) ChIP-seq	Pol@ RpII33
KW3-disco-D2|E8-16h	Oth@ disco
KW3-Trl-D2|Kc	Oth@ Trl
H3K4me3-LP|Kc	His@ H3K4me3
rbCBP|E0-4h	Oth@ CBP
KW3-kni-D2|E8-16h	Oth@ kni
KW3-Trl-D2|E16-24h	Oth@ Trl
NWG-GFP|7T	Oth@ GFP
KW3-disco-D2|E0-8h	Oth@ disco
KW4-Pcl-D2|E0-8h	Oth@ Pcl
10T-E16-24h	Unc@ Unclassified
NWG-GFP|10T-E16-24h	Oth@ GFP
NWG-GFP|10T-W3L	Oth@ GFP
KW3-hkb-D1|E8-16h	Oth@ hkb
Sin3A|E0-12h	Oth@ Sin3A
anti-AGO2 mAb 9D6|S3 cells	Oth@ AGO2
anti-AGO2 mAb 9D6|S2 cells	Oth@ AGO2
