NoCell	NoD@ NA
Naive_B_cell|Naive_B_cell|Naive B cells (IgD+) isolated from de-identified tonsillectomy	Bld@ B-Lymphocytes
H9 hESC	PSC@ hESC H9
H9 hESC|DOX-damaged induced hESC	PSC@ hESC H9
Medullo	Neu@ Medullo
Medullo|Medullo|medulloblastoma (aka D721), surgical resection from a patient with medulloblastoma as described by Darrell Bigner (1997)|ectoderm	Neu@ Medullo
GM10248	Bld@ GM10248
Colon_OC|Colon_OC|Primary frozen colon tissue from NCTC donor IDs 10-0005A (Rep B1) and 10-0170A (Rep B2), African American and caucasian	Dig@ Colon
Kidney_OC	Kid@ Kidney
GM13976	Bld@ GM13976
Spleen_OC	Oth@ Spleen
Lung_OC	Lng@ Lung
Pancreas_OC	Pan@ Pancreas
Lung_OC|Lung_OC|Primary frozen lung tissue from NICHD donor IDs 1104 (Rep B1 DNase), 602 (Rep B2 DNase), 1442 (Rep B3 DNase) and CF Center donor IDs DD006I (Rep B1 FAIRE) and DD007I (Rep B2 FAIRE)	Lng@ Lung
GM20000	Bld@ GM20000
Spleen_OC|Spleen_OC|Primary frozen spleen tissue from NICHD donor IDs 1863 (Rep B1) and 4548 (Rep B2)	Oth@ Spleen
Pancreas_OC|Pancreas_OC|Primary frozen pancreas tissue from NCTC donor IDs 09-0144A (Rep B1) and 10-0021A (Rep B2)	Pan@ Pancreas
GM10266	Bld@ GM10266
GM13977	Bld@ GM13977
Kidney_OC|Kidney_OC|Primary frozen kidney tissue from NICHD donor IDs 1104 (Rep B1 DNase), 602 (Rep B2 DNase), 1442 (Rep B3 DNase), 1863 (Rep B3 FAIRE) and NCTC donor ID 10-0022A (Rep B1 FAIRE)	Kid@ Kidney
Chromatin IP against 48hr_IgG|H1 embryonic stem cells	PSC@ hESC H1
Chromatin IP against 48hr_H3K4me3|H1 embryonic stem cells	PSC@ hESC H1
Chromatin IP against 48hr_H3K27ac|H1 embryonic stem cells	PSC@ hESC H1
U2OS|U2OS_KD_input|human osteosarcoma cells	Bon@ U2OS
U2OS|U2OS_UV_SIRT3|human osteosarcoma cells	Bon@ U2OS
U2OS|U2OS_UV_input|human osteosarcoma cells	Bon@ U2OS
U2OS|U2OS_NT_SIRT3|human osteosarcoma cells	Bon@ U2OS
U2OS|U2OS_NT_IgG|human osteosarcoma cells	Bon@ U2OS
U2OS|U2OS_NT_input|human osteosarcoma cells	Bon@ U2OS
Dnd41|Dnd41|T cell leukemia with Notch mutation|mesoderm	Bld@ DND-41
HSMM	Myo@ HSMM
CD20+|CD20+|B cells from donors RO01778 and RO01794, newly promoted to tier 2: not in 2011 analysis|mesoderm	Bld@ CD20+
BJ|BJ_c-Myc ChIP-Seq_48hr_mockinduction|foreskin fibroblast cell	Epd@ BJ
BJ|BJ_Oct4 ChIP-Seq_48hr_mockinduction|foreskin fibroblast cell	Epd@ BJ
T47D|T47D cells	Brs@ T-47D
Leiomyoma cells|Leiomyoma cells	Myo@ Leiomyoma
A549|A549 Input|NSCLC	Lng@ A549
A549|A549 Nicotine stimulated|NSCLC	Lng@ A549
A549|A549 Serum starved|NSCLC	Lng@ A549
MCF10A|MCF10A_P-Ser2_ChIP-seq|breast epithelial cells	Brs@ MCF 10A
MCF10A|MCF10A_PALB2_ChIP-seq|breast epithelial cells	Brs@ MCF 10A
MCF10A|MCF10A_BRCA1_ChIP-seq|breast epithelial cells	Brs@ MCF 10A
PC-3|Ago2 IP	Prs@ PC-3
PC-3|Ago1 IP	Prs@ PC-3
PC-3|H3k4me3 IP	Prs@ PC-3
PC-3|Input DNA	Prs@ PC-3
Burkitt lymphoma|IgG_ChIP-Seq|Raji cells	Bld@ RAJI
Burkitt lymphoma|EBV_EBNA1_Raji_ChIP-Seq|Raji cells	Bld@ RAJI
ZR751|ZR751_input|breast cancer cells	Brs@ ZR-75-1
MCF-7|MCF_input|breast cancer cells	Brs@ MCF-7
ZR751|ZR751_siGATA_ER_estrogen|breast cancer cells	Brs@ ZR-75-1
ZR751|ZR751_siNT_ER_estrogen|breast cancer cells	Brs@ ZR-75-1
MCF-7|siGATA_p300_Veh|breast cancer cells	Brs@ MCF-7
MCF-7|siNT_p300_Veh|breast cancer cells	Brs@ MCF-7
MCF-7|siGATA_p300_estrogen|breast cancer cells	Brs@ MCF-7
MCF-7|siNT_p300_estrogen|breast cancer cells	Brs@ MCF-7
MCF-7|siGATA_H3K4me1_Veh|breast cancer cells	Brs@ MCF-7
MCF-7|siNT_H3K4me1_Veh|breast cancer cells	Brs@ MCF-7
MCF-7|siGATA_H3K4me1_estrogen|breast cancer cells	Brs@ MCF-7
MCF-7|siNT_H3K4me1_estrogen|breast cancer cells	Brs@ MCF-7
MCF-7|siGATA_H3K27ac_Veh|breast cancer cells	Brs@ MCF-7
MCF-7|siNT_H3K27ac_Veh|breast cancer cells	Brs@ MCF-7
MCF-7|siGATA_H3K27ac_estrogen|breast cancer cells	Brs@ MCF-7
MCF-7|siNT_H3K27ac_estrogen|breast cancer cells	Brs@ MCF-7
MCF-7|siGATA_FOXA1_Veh|breast cancer cells	Brs@ MCF-7
MCF-7|siNT_FOXA1_Veh|breast cancer cells	Brs@ MCF-7
HeLa|WCE 3mM sodium bicarbonate	Utr@ HeLa
HeLa|WCE 25mM sodium bicarbonate	Utr@ HeLa
HeLa|H4K16ac 3mM sodium bicarbonate	Utr@ HeLa
HeLa|H4K16ac 25mM sodium bicarbonate	Utr@ HeLa
NCI-H3122|H3122_FOXA1_ab23738	Lng@ NCI-H3122
NCI-H3122|H3122_NKX2-1_BL4000_2	Lng@ NCI-H3122
NCI-H3122|H3122_input_2	Lng@ NCI-H3122
NCI-H2087|H2087_NKX2-1_BL4000	Lng@ NCI-H2087
NCI-H2087|H2087_input	Lng@ NCI-H2087
NCI-H1819|H1819_NKX2-1_BL4000	Lng@ HCC1819
NCI-H1819|H1819_input	Lng@ HCC1819
NCI-H3122|H3122_NKX2-1_BL4000	Lng@ NCI-H3122
NCI-H3122|H3122_input	Lng@ NCI-H3122
HEK293|HEK293, control	Kid@ 293
HEK293|HEK293, HP1b ChIP	Kid@ 293
HEK293|HEK293, HP1a ChIP	Kid@ 293
HEK293|HEK293, Brd4 ChIP	Kid@ 293
HEK293|HEK293, Brd3 ChIP	Kid@ 293
HEK293|HEK293, Brd2 ChIP	Kid@ 293
Blood|CD4|Blood|Adult	Bld@ CD4+
LS180 cells|LS180_SMRT_125|cultured CRC cells	Dig@ LS-180
LS180 cells|LS180_SMRT_Veh|cultured CRC cells	Dig@ LS-180
LS180 cells|LS180_NCoR_125|cultured CRC cells	Dig@ LS-180
LS180 cells|LS180_NCoR_Veh|cultured CRC cells	Dig@ LS-180
LS180 cells|LS180_MED1_125|cultured CRC cells	Dig@ LS-180
LS180 cells|LS180_MED1_Veh|cultured CRC cells	Dig@ LS-180
LS180 cells|LS180_CBP_125|cultured CRC cells	Dig@ LS-180
LS180 cells|LS180_CBP_Veh|cultured CRC cells	Dig@ LS-180
LS180 cells|LS180_SRC1_125|cultured CRC cells	Dig@ LS-180
LS180 cells|LS180_SRC1_Veh|cultured CRC cells	Dig@ LS-180
FLP76|derived from HEK293, human embryonic kidney cells	Kid@ 293
293T-Rex|derived from HEK293, human embryonic kidney cells	Kid@ 293
K562|chronic myelogenous leukemia cells	Bld@ K-562
H2A.Z_hES_ChIPSeq|H1 human embryonic stem cells	PSC@ hESC H1
RPMI-8402|T-ALL cell line, WCE input|T-cell acute lymphoblastic leukemia (T-ALL) cells	Bld@ RPMI 8402
M23F|hiPSC_M23F, H3K27me3 ChIP|human induced pluripotent stem cells (hiPSCs)	PSC@ iPS cells
M23F|hiPSC_M23F, H3K4me3 ChIP|human induced pluripotent stem cells (hiPSCs)	PSC@ iPS cells
H1-hESC (WiCell Research Institute WA01)|human embryonic stem cells|inner cell mass, sex: M	PSC@ hESC H1
H3K4me3 hypoxia ChIP-seq|HUVEC	CDV@ HUVEC
H3K4me3 normoxia ChIP-seq|HUVEC	CDV@ HUVEC
H3K4me1 hypoxia ChIP-seq|HUVEC	CDV@ HUVEC
H3K4me1 normoxia ChIP-seq|HUVEC	CDV@ HUVEC
INPUT under hypoxia ChIP-seq|HUVEC	CDV@ HUVEC
INPUT under normoxia ChIP-seq|HUVEC	CDV@ HUVEC
HIF1 under hypoxia ChIP-seq|HUVEC	CDV@ HUVEC
HIF1 under normoxia ChIP-seq|HUVEC	CDV@ HUVEC
NCCIT|DF-NCCIT_NP|embroynic cancer	PSC@ NCCIT
NCCIT|UD-NCCIT_NP|embroynic cancer	PSC@ NCCIT
NCCIT|DF-H2AK119Ub_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|DF-H3K36me3_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|DF-H3K27me3_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|DF-H3K9me3_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|DF-H3K4me3_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|DF-DNMT3B_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|DF-DNMT3A_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|DF-DNMT1_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|UD-H2AK119Ub_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|UD-H3K36me3_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|UD-H3K27me3_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|UD-H3K9me3_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|UD-H3K4me3_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|UD-DNMT3B_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|UD-DNMT3A_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|UD-DNMT1_ChIP|embroynic cancer	PSC@ NCCIT
NCCIT|Input-DNA_ChIP|embroynic cancer	PSC@ NCCIT
PrEC	Prs@ PrEC
Combined IP DNA_non-stimulated PBMCs_Control IgG ChIP-Seq|peripheral blood mononuclear cells (PBMCs)	Bld@ PBMC
IMR90|Human Liver	Lng@ IMR-90
BCBL1|BCBL1 pleural effusion lymphoma, SMC1 ChIP|KSHV-infected pleural effusion lymphoma cells	Bld@ BCBL1
BCBL1|BCBL1 pleural effusion lymphoma, CTCF ChIP|KSHV-infected pleural effusion lymphoma cells	Bld@ BCBL1
Acute lymphoblastic leukemia cells with MLL/AF4 translocation, H3K4me3 ChIP|RS4;11 ALL cells	Bld@ RS4-11
Acute lymphoblastic leukemia cells with MLL/AF4 translocation, AF4 ChIP|RS4;11 ALL cells	Bld@ RS4-11
Acute lymphoblastic leukemia cells with MLL/AF4 translocation, MLLN ChIP|RS4;11 ALL cells	Bld@ RS4-11
Acute lymphoblastic leukemia cells with MLL/AF4 translocation, H3K79me2 ChIP|RS4;11 ALL cells	Bld@ RS4-11
HeLa|HeLa_Oct1	Utr@ HeLa
IMR90hTert|IMR90hTert_SNAP190|diploid fibroblast-like cells|fetal female lung	Lng@ IMR-90
IMR90hTert|IMR90hTert_SNAP19|diploid fibroblast-like cells|fetal female lung	Lng@ IMR-90
IMR90hTert|IMR90hTert_SNAP43|diploid fibroblast-like cells|fetal female lung	Lng@ IMR-90
IMR90hTert|IMR90hTert_TF2B|diploid fibroblast-like cells|fetal female lung	Lng@ IMR-90
IMR90hTert|IMR90hTert_RPB2|diploid fibroblast-like cells|fetal female lung	Lng@ IMR-90
IMR90hTert|IMR90hTert_Brf2|diploid fibroblast-like cells|fetal female lung	Lng@ IMR-90
HCT116|colorectal cancer cells, normoxia, CDK8 ChIP	Dig@ HCT 116
HCT116|colorectal cancer cells, input	Dig@ HCT 116
BGO3 (feeder free)|BGO3_t0_ChipSeq|Embryonic stem cells	PSC@ hESC BG03
BGO3 (feeder free)|Endodermal Diff of BG03 cells t|Embryonic stem cells	PSC@ hESC derived mesendodermal cells
U2OS|Input_DNA|Osteosarcoma	Bon@ U2OS
HCT116|H2B ChIP-Seq USP49 knockdown|colorectal carcinoma	Dig@ HCT 116
HCT116|H2B ChIP-Seq Control|colorectal carcinoma	Dig@ HCT 116
HCT116|uH2b ChIP-Seq USP49 knockdown|colorectal carcinoma	Dig@ HCT 116
HCT116|uH2B ChIP-Seq Control|colorectal carcinoma	Dig@ HCT 116
RWPE1|RWPE1-ERG prostate epithelial cell line, input|benign prostate epithelial cells	Prs@ RWPE-1
RWPE1|RWPE1-ERG prostate epithelial cell line, ERG ChIP|benign prostate epithelial cells	Prs@ RWPE-1
HeLa S3|cervical cancer cell line (low-density fractions)	Utr@ HeLa
GM12878|input vehicle treated|lymphoblastoid	Bld@ GM12878
GM12878|input SFN treated|lymphoblastoid	Bld@ GM12878
GM06993, GM07000, GM11882, GM11992, GM12763, GM12872|IgG ChIP vehicle treated|lymphoblastoid	Bld@ GM12872
GM06993, GM07000, GM11882, GM11992, GM12763, GM12872|IgG ChIP SFN treated|lymphoblastoid	Bld@ GM12872
GM07000, GM11882|NRF2 ChIP vehicle treated|lymphoblastoid	Bld@ Lymphoblastoid cell lines
GM06993, GM12872|NRF2 ChIP vehicle treated|lymphoblastoid	Bld@ GM12872
GM11992, GM12763|NRF2 ChIP vehicle treated|lymphoblastoid	Bld@ Lymphoblastoid cell lines
GM11994|NRF2 ChIP vehicle treated|lymphoblastoid	Bld@ Lymphoblastoid cell lines
GM07000, GM11882|NRF2 ChIP SFN treated|lymphoblastoid	Bld@ Lymphoblastoid cell lines
GM06993, GM12872|NRF2 ChIP SFN treated|lymphoblastoid	Bld@ GM12872
GM11992, GM12763|NRF2 ChIP SFN treated|lymphoblastoid	Bld@ Lymphoblastoid cell lines
GM11994|NRF2 ChIP SFN treated|lymphoblastoid	Bld@ Lymphoblastoid cell lines
HAEC|HAEC_input_500nM TSA_12h|Primary Human Aortic Endothelial Cells	CDV@ HAEC
Primary Cell|CD19|presumed normal|CD19+	Bld@ B-cell (CD19+)
Primary Tissue|Adipose Tissue|N/A|None	Adp@ Adipose Tissue
NCC_TFAP2A|Neural crest cells (hNCC) derived from H9 ESC	PSC@ hESC derived neural crests
H293T|H293T_TET2 kd_H3K4me3	Kid@ 293
H293T|H293T_RNAi control_H3K4me3	Kid@ 293
H293T|H293T_HT OGT	Kid@ 293
H293T|H293T_HT TET3	Kid@ 293
H293T|H293T_HT TET2	Kid@ 293
H293T|H293T_HT Control	Kid@ 293
H293T|H293T_H3K4me3	Kid@ 293
IMR90|Senescent H3K4me3 ChIP|senescent cells	Lng@ IMR-90
IMR90|Proliferating LaminB1 ChIP|proliferating cells	Lng@ IMR-90
IMR90|Proliferating H3K4me3 ChIP|proliferating cells	Lng@ IMR-90
WM262|WM262 WCE|Melanoma	Epd@ WM262
WM853.2|Chromatin IP against SetDB1|Melanoma	Epd@ WM853
Wm451-lu|Wm451-lu WCE|Melanoma	Epd@ WM451
WM853.2|WM853.2 WCE|Melanoma	Epd@ WM853
BGO3 (feeder free)|Smc1 ChipSeq in human ES cells|embryonic stem cells	PSC@ hESC BG03
BGO3 (feeder free)|Smc3 ChipSeq in human ES cells|embryonic stem cells	PSC@ hESC BG03
BGO3 (feeder free)|Endodermal Diff of BG03 cells, Activin A, t|embryonic stem cells	PSC@ hESC derived mesendodermal cells
BGO3 (feeder free)|ChipSeq for Pol2|embryonic stem cells	PSC@ hESC BG03
BGO3 (feeder free)|ChipSeq for IgG|embryonic stem cells	PSC@ hESC BG03
BJ|BJ_DNA Input_control_48hr_postinduction|foreskin fibroblast cell	Epd@ BJ
BJ|BJ_c-Myc ChIP-Seq_48hr_postinduction|foreskin fibroblast cell	Epd@ BJ
BJ|BJ_Klf4 ChIP-Seq_48hr_postinduction|foreskin fibroblast cell	Epd@ BJ
BJ|BJ_Sox2 ChIP-Seq_48hr_postinduction|foreskin fibroblast cell	Epd@ BJ
BJ|BJ_Oct4 ChIP-Seq_48hr_postinduction|foreskin fibroblast cell	Epd@ BJ
Jurkat E6-1|01142010_610A5AAXX_B8	Bld@ Jurkat (Clone E6-1)
Jurkat E6-1|06172009_42A7LAAXX_B7	Bld@ Jurkat (Clone E6-1)
Jurkat E6-1|03232009_3140UAAXX_B8	Bld@ Jurkat (Clone E6-1)
Jurkat E6-1|03232009_3140UAAXX_B6	Bld@ Jurkat (Clone E6-1)
Jurkat E6-1|03232009_3140UAAXX_B7	Bld@ Jurkat (Clone E6-1)
Jurkat E6-1|10162009_42YHYAAXX_B1	Bld@ Jurkat (Clone E6-1)
Jurkat E6-1|10162009_42YHYAAXX_B2	Bld@ Jurkat (Clone E6-1)
Jurkat E6-1|06172009_42A7LAAXX_B1	Bld@ Jurkat (Clone E6-1)
Jurkat E6-1|10162009_42YHYAAXX_B3	Bld@ Jurkat (Clone E6-1)
Jurkat E6-1|04102009_3139VAAXX_B5	Bld@ Jurkat (Clone E6-1)
HEK293|HEK293, Dcp2 shRNA, RNA pol II ChIP	Kid@ 293
HEK293|HEK293, Dcp1a shRNA, RNA pol II ChIP	Kid@ 293
HEK293|HEK293, Edc3 shRNA, RNA pol II ChIP	Kid@ 293
HEK293|HEK293, TTF2+Xrn2 shRNA, RNA pol II ChIP	Kid@ 293
HEK293|HEK293, Xrn2 shRNA, RNA pol II ChIP	Kid@ 293
HEK293|HEK293, TTF2 shRNA, RNA pol II ChIP	Kid@ 293
HEK293|HEK293, scrambled shRNA, RNA pol II ChIP	Kid@ 293
HEK293|HEK293, RNA pol II ChIP	Kid@ 293
HeLa|HeLa, Dcp1a ChIP	Utr@ HeLa
HeLa|HeLa, Xrn2 ChIP	Utr@ HeLa
HeLa|HeLa, input	Utr@ HeLa
SKBR-3|SKBR-3, TFAP2C ChIP	Brs@ SK-BR-3
MDA-MB-453|MDA-MB-453, TFAP2C ChIP	Brs@ MDA-MB-453
BT-474|BT-474, TFAP2C ChIP	Brs@ BT-474
MCF-7|MCF-7, TFAP2C ChIP	Brs@ MCF-7
human embryonic stem cell (H1)|human embryonic stem cell (H1)	PSC@ hESC H1
HeLa|RNA Pol II WCE	Utr@ HeLa
IMR90|lung fibroblasts|contact-inhibited IMR90	Lng@ IMR-90
H1|H1 human Embryonic stem cell	PSC@ hESC H1
H1|H1 human Embryonic stem cells	PSC@ hESC H1
HepG2.2.15|HepG2.2.15 cells, H3K27me3 ChIP|human hepatocellular liver carcinoma cells	Liv@ Hep G2
HepG2.2.15|HepG2.2.15 cells, H3K4me3 ChIP|human hepatocellular liver carcinoma cells	Liv@ Hep G2
HepG2|HepG2 cells, H3K27me3 ChIP|human hepatocellular liver carcinoma cells	Liv@ Hep G2
HepG2|HepG2 cells, H3K4me3 ChIP|human hepatocellular liver carcinoma cells	Liv@ Hep G2
Human Cerebellum tissue (Cat # TCB-4098, Capital Biosciences USA)|Cebrellum	Neu@ Adult brains
Human Peripheral Blood Lymphocytes|Cebrellum	Bld@ Lymphocytes
Human Peripheral Blood Lymphocytes|Peripheral Blood Lymphocytes	Bld@ Lymphocytes
K562|control knockdown	Bld@ K-562
K562|ATRX knockdown	Bld@ K-562
HeLa-S3|HeLa_RNA Polymerase 2 ChIP-Seq|HELA cell culture	Utr@ HeLa
NB4(leukemic)	Bld@ NB-4
H1 hESCs-SUZ12 ChIP-seq|H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	PSC@ hESC H1
H1 hESCs-SIRT6 ChIP-seq|H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	PSC@ hESC H1
H1 hESCs-SAP30 ChIP-seq|H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	PSC@ hESC H1
H1 hESCs-PHF8 ChIP-seq|H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	PSC@ hESC H1
H1 hESCs-P300 ChIP-seq|H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	PSC@ hESC H1
H1 hESCs-JMJD2A ChIP-seq|H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	PSC@ hESC H1
H1 hESCs-JARID1C ChIP-seq|H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	PSC@ hESC H1
H1 hESCs-JARID1B ChIP-seq|H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	PSC@ hESC H1
H1 hESCs-HDAC6 ChIP-seq|H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	PSC@ hESC H1
H1 hESCs-HDAC2 ChIP-seq|H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	PSC@ hESC H1
H1 hESCs-EZH2 ChIP-seq|H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	PSC@ hESC H1
H1 hESCs-CHD7 ChIP-seq|H1 ES cells were grown in TeSR media on Matrigel (Cellular Dynamics)	PSC@ hESC H1
K562-SUZ12 ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-SIRT6 ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-RNF2 ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-RNAPIIS5P ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-REST ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-PCAF ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-P300 ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-NSD2 ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-NCOR ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-MI2 ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-LSD1 ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-KAT3A/CBP ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-JARID1C ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-HP1g ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-EZH2 ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-ESET ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-CHD7 ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-CBX8 ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
K562-CBX2 ChIP-seq|K562 erythrocytic leukaemia cells (ATCC CCL-243)	Bld@ K-562
NCCIT|NCCIT|embryonic carcinoma cells	PSC@ NCCIT
siRNF20-transfected NCCIT|NCCIT|embryonic carcinoma cells	PSC@ NCCIT
siEGFP-transfected NCCIT|NCCIT|embryonic carcinoma cells	PSC@ NCCIT
HCT116|SP1 ChIP-seq - HCT116	Dig@ HCT 116
293T-Rex|293T-Rex, CBX2 ChIP	Kid@ 293
293T-Rex|293T-Rex, PCGF4 ChIP	Kid@ 293
293T-Rex|293T-Rex, RYBP ChIP	Kid@ 293
293T-Rex|293T-Rex, RING1B ChIP	Kid@ 293
293T-Rex|293T-Rex, H2AK119Ub1 ChIP	Kid@ 293
293T-Rex|293T-Rex, H3K27me3 ChIP	Kid@ 293
293T-Rex|293T-Rex, FH-CBX2.HA ChIP	Kid@ 293
293T-Rex|293T-Rex, FH-PCGF6.HA ChIP	Kid@ 293
293T-Rex|293T-Rex, FH-PCGF5.HA ChIP	Kid@ 293
293T-Rex|293T-Rex, FH-PCGF4.HA ChIP	Kid@ 293
293T-Rex|293T-Rex, FH-PCGF2.HA ChIP	Kid@ 293
293T-Rex|293T-Rex, FH-PCGF1.HA ChIP	Kid@ 293
293T-Rex|293T-Rex, FH-RYBP.HA ChIP	Kid@ 293
293T-Rex|293T-Rex, FH-RING1B.HA ChIP	Kid@ 293
293T-Rex|293T-Rex, input	Kid@ 293
patient B input|t(8;21) AML patient Blast cells	Bld@ Leukemia, Myeloid
patient A input|t(8;21) AML patient Blast cells	Bld@ Leukemia, Myeloid
Blast cells from human patient B with t(8;21) AML|t(8;21) AML patient Blast cells	Bld@ Leukemia, Myeloid
Blast cells from human patient A with t(8;21) AML|t(8;21) AML patient Blast cells	Bld@ Leukemia, Myeloid
HUVEC_p65_10 ng/ml_TNF_30min|Human umbilical vein endothelial cells	CDV@ HUVEC
HUVEC_p65_without_TNF|Human umbilical vein endothelial cells	CDV@ HUVEC
HUVEC_PolII_10 ng/ml_TNF_30min|Human umbilical vein endothelial cells	CDV@ HUVEC
HUVEC_PolII_without_TNF|Human umbilical vein endothelial cells	CDV@ HUVEC
GM12871|GM12871|B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed.|mesoderm	Bld@ GM12871
GM12869|GM12869|B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed.|mesoderm	Bld@ GM12869
GM12870|GM12870|B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed.|mesoderm	Bld@ GM12870
GM12867|GM12867|B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed.|mesoderm	Bld@ GM12867
GM12868|GM12868|B-lymphocyte, lymphoblastoid, International HapMap Project, CEPH/Utah pedigree 1459, treatment: Epstein-Barr Virus transformed.|mesoderm	Bld@ GM12868
HPdLF|HPdLF|periodontal ligament fibroblasts	Oth@ HPdLF
HRCEpiC|HRCEpiC|renal cortical epithelial cells|mesoderm	Kid@ HRCEpiC
NH-A|NH-A|astrocytes (also called Astrocy)|ectoderm	Neu@ NH-A
BE(2)-C/Tet-Off/Myc-HOXC9|BE2C/Tet-Off/HOXC9_Doxy-_6d_Input|Sympathetic nervous system|Neuroblastoma	Neu@ BE(2)-C
Human tonsilar germinal center B cells|Human tonsilar germinal center B cells (CD77+)	Bld@ B-Lymphocytes
Human tonsilar nave B cells|Human tonsilar nave B cells (IgD+)	Bld@ B-Lymphocytes
OCI-Ly8|Diffuse Large B-cell Lymophoma	Bld@ OCI-LY8
OCI-Ly1|Diffuse Large B-cell Lymophoma	Bld@ OCI-LY1
HEK293T|Human Embryonic Kidney Cell 293T|human embryonic kidney cells	Kid@ 293
HEK293T|Whole Cell Extract_ChIP-seq (input control)|human embryonic kidney cells	Kid@ 293
HEK293T|AFF4_ChIP-seq|human embryonic kidney cells	Kid@ 293
iPSC-derived NSCs bearing homozygous LRRK2(G2019S) mutation at passage 15|NSCs	PSC@ iPS derived neural cells
iPSC-derived NSCs bearing homozygous LRRK2(G2019S) mutation at passage 10|NSCs	PSC@ iPS derived neural cells
wild-type iPSC-derived NSCs at passage 15|NSCs	PSC@ iPS derived neural cells
wild-type iPSC-derived NSCs at passage 10|NSCs	PSC@ iPS derived neural cells
iPSCs bearing homozygous LRRK2(G2019S) mutation|iPSCs	PSC@ iPS cells
wild-type iPSCs|iPSCs	PSC@ iPS cells
hGBM1 + Dox + Arvanil + BMP7 INPUT (ATF3)|Glioblastoma Multiforme stem like	Neu@ GBM1-HAM
hGBM1 + Dox + Arvanil + BMP7 ATF3|Glioblastoma Multiforme stem like	Neu@ GBM1-HAM
hGBM 5 INPUT|Glioblastoma Multiforme stem like	Neu@ GBM1-HAM
hGBM 5 BMI1|Glioblastoma Multiforme stem like	Neu@ GBM1-HAM
hGBM 1 INPUT (BMI1)|Glioblastoma Multiforme stem like	Neu@ GBM1-HAM
