NoAb	NoD@ NA
affinity purified antibody against mouse JMJD3|Dr. K. Helin|neural stem cells	Oth@ Kdm6b
RNA Pol II (8WG16)|Covance MMS-126R|Embryonic stem cells	Pol@ RNA Polymerase II
SA2|Bethyl A300-158A-1|Embryonic stem cells	Oth@ Stag2
SA1|Bethyl A300-157A-1|Embryonic stem cells	Oth@ Stag1
Brd4|Bethyl A301-985A|Embryonic stem cells	Oth@ Brd4
None|Input data from HA-Ikaros transduced B3 cells	InP@ Input control
A fragment of human ELL3 (aa 1-248) was expressed as His-tag fusion protein in pET-16b, purified on NTA-agarose according to Qiagens protocol and sent to Pocono Rabbit Farm and Labs for immunization into rabbits.|murine embryonic stem cells	Oth@ Ell3
H3K4me1 (Abcam ab8895)|Pro-B	His@ H3K4me1
STHdhQ111/Q111 striatal cells	Unc@ Unclassified
STHdhQ7/Q7 striatal cells	Unc@ Unclassified
FLAG (Sigma, A2220) and HA (Sigma, A2095)|embryonic stem cells	Oth@ Epitope tags
anti-Isl1/2 (gift from Dr. T. Jessell)|Isl1 induced cells (Day4 iI differentiation)	Oth@ Isl1
anti-Isl1/2 (gift from Dr. T. Jessell)|induced cortical motor neurons (Day4 iNIP differentiation)	Oth@ Isl1
anti-V5 (Abcam, ab15828)|induced cortical motor neurons (Day4 iNIP differentiation)	Oth@ Epitope tags
none|Mouse V19-OSKM Aberrant iPS cells, Utx-/Y, Clone #2	InP@ Input control
H3K27me3; ChIP grade, 07-449, Millipore|Mouse V19-OSKM Aberrant iPS cells, Utx-/Y, Clone #2	His@ H3K27me3
H3K4me3; ChIP grade, ab8580, abcam|Mouse V19-OSKM Aberrant iPS cells, Utx-/Y, Clone #2	His@ H3K4me3
none|Mouse V19-OSKM Aberrant iPS cells, Utx-/Y, Clone #1	InP@ Input control
H3K27me3; ChIP grade, 07-449, Millipore|Mouse V19-OSKM Aberrant iPS cells, Utx-/Y, Clone #1	His@ H3K27me3
H3K4me3; ChIP grade, ab8580, abcam|Mouse V19-OSKM Aberrant iPS cells, Utx-/Y, Clone #1	His@ H3K4me3
none|Mouse V6.5 ESCs, Utx-/Y	InP@ Input control
H3K4me3; ChIP grade, ab8580, abcam|Mouse V6.5 ESCs, Utx-/Y	His@ H3K4me3
H3K27me3; ChIP grade, 07-449, Millipore|Mouse V6.5 ESCs, Utx-/Y	His@ H3K27me3
none|Mouse V6.5 ESCs	InP@ Input control
UTX Ab-UTX 5/1, PID 17178841|Mouse V6.5 ESCs	Oth@ Kdm6a
H3K4me3; ChIP grade, ab8580, abcam|Mouse V6.5 ESCs	His@ H3K4me3
H3K27me3; ChIP grade, 07-449, Millipore|Mouse V6.5 ESCs	His@ H3K27me3
none|lateral telencephalon	InP@ Input control
GR (sc-1004) from SantaCruz|AtT-20 corticotroph cells treated with GR (Dex)	Oth@ Nr3c1
GR (sc-1004) from SantaCruz|AtT-20 corticotroph cells treated with GR (Dex+LIF)	Oth@ Nr3c1
p-STAT3 (sc-7993) and STAT3 (sc-482x) from SantaCruz|AtT-20 corticotroph cells treated with Stat3 (Dex+LIF)	Oth@ Stat3
p-STAT3 (sc-7993) and STAT3 (sc-482x) from SantaCruz|AtT-20 corticotroph cells treated with Stat3 (LIF)	Oth@ Stat3
rabbit IgG (G2018, Sigma)|AtT-20 corticotroph cells treated with Control IgG	InP@ Input control
Pol2-4H8|ab5408|This gene encodes the largest subunit of RNA polymerase II, the polymerase responsible for synthesizing messenger RNA in eukaryotes|Mouse monoclonal to RNA polymerase II CTD repeat YSPTSPS antibody (4H8) - ChIP Grade. Antibody Target: POL24H8|G1E-ER4	Pol@ RNA Polymerase II
Pol2-4H8|ab5408|This gene encodes the largest subunit of RNA polymerase II, the polymerase responsible for synthesizing messenger RNA in eukaryotes|Mouse monoclonal to RNA polymerase II CTD repeat YSPTSPS antibody (4H8) - ChIP Grade. Antibody Target: POL24H8|G1E	Pol@ RNA Polymerase II
GATA2_(SC-9008)|sc-9008|The GATA family of transcription factors share a conserved zinc finger DNA-binding domain and are capable of binding the WGATAR consensus sequence. GATA1 is erythroid-specific and is essential for normal erythropeisis. By comparison, GATA2 is expressed at high levels in hematopoeitic progenitors, including early erythroid cells, but is strong repressed during erythroblast differentiaion.|Rabbit polyclonal antibody raised against amino acids 120-235 of GATA-2 of human origin. Antibody Target: GATA2|G1E-ER4	Oth@ Gata2
GATA2_(SC-9008)|sc-9008|The GATA family of transcription factors share a conserved zinc finger DNA-binding domain and are capable of binding the WGATAR consensus sequence. GATA1 is erythroid-specific and is essential for normal erythropeisis. By comparison, GATA2 is expressed at high levels in hematopoeitic progenitors, including early erythroid cells, but is strong repressed during erythroblast differentiaion.|Rabbit polyclonal antibody raised against amino acids 120-235 of GATA-2 of human origin. Antibody Target: GATA2|G1E	Oth@ Gata2
GATA1_(SC-265)|sc-265|GATA1 is erythroid-specific and is responsible for the regulated transcription of erythroid genes.|rat monoclonal antibody raised against mouse recombinant GATA1; recommended for detection of GATA1 of mouse, rat and human origin. Antibody Target: GATA1|Megakaryo	Oth@ Gata1
PAX5_(N-15)|ab12000|The PAX5 gene is a member of the paired box (PAX) family of transcription factors. The central feature of this gene family is a novel, highly conserved DNA binding motif, known as the paired box. The PAX proteins are important regulators in early development, and alterations in the expression of their genes are thought to contribute to neoplastic transformation. The PAX5 gene encodes the B cell lineage specific activator protein (BSAP) that is expressed at early, but not late stages of B cell differentiation.|rabbit polyclonal antibody; epitope is a synthetic peptide: MDLEKNYPTPRTSRT, corresponding to amino acids 1-15 of Human PAX5, cross-reacts with human and mouse PAX5. Antibody Target: PAX5|CH12	Oth@ Pax5
TAL1_(SC-12984)|sc-12984|TAL1 (also designated SCL) is a serine phosphoprotein and basic helix-loop-helix transcription factor known to regulate embryonic hematopoiesis.|goat polyclonal antibody; epitope mapping at the C-terminus of TAL1 of human origin, recommended for detection of TAL1 of mouse, rat and human origin. Antibody Target: TAL1|Erythrobl	Oth@ Tal1
GATA1_(SC-265)|sc-265|GATA1 is erythroid-specific and is responsible for the regulated transcription of erythroid genes.|rat monoclonal antibody raised against mouse recombinant GATA1; recommended for detection of GATA1 of mouse, rat and human origin. Antibody Target: GATA1|G1E	Oth@ Gata1
TAL1_(SC-12984)|sc-12984|TAL1 (also designated SCL) is a serine phosphoprotein and basic helix-loop-helix transcription factor known to regulate embryonic hematopoiesis.|goat polyclonal antibody; epitope mapping at the C-terminus of TAL1 of human origin, recommended for detection of TAL1 of mouse, rat and human origin. Antibody Target: TAL1|G1E	Oth@ Tal1
TAL1_(SC-12984)|sc-12984|TAL1 (also designated SCL) is a serine phosphoprotein and basic helix-loop-helix transcription factor known to regulate embryonic hematopoiesis.|goat polyclonal antibody; epitope mapping at the C-terminus of TAL1 of human origin, recommended for detection of TAL1 of mouse, rat and human origin. Antibody Target: TAL1|MEL	Oth@ Tal1
Pol2-4H8|ab5408|This gene encodes the largest subunit of RNA polymerase II, the polymerase responsible for synthesizing messenger RNA in eukaryotes|Mouse monoclonal to RNA polymerase II CTD repeat YSPTSPS antibody (4H8) - ChIP Grade. Antibody Target: POL24H8|MEL	Pol@ RNA Polymerase II
TAL1_(SC-12984)|sc-12984|TAL1 (also designated SCL) is a serine phosphoprotein and basic helix-loop-helix transcription factor known to regulate embryonic hematopoiesis.|goat polyclonal antibody; epitope mapping at the C-terminus of TAL1 of human origin, recommended for detection of TAL1 of mouse, rat and human origin. Antibody Target: TAL1|G1E-ER4	Oth@ Tal1
GATA1_(SC-265)|sc-265|GATA1 is erythroid-specific and is responsible for the regulated transcription of erythroid genes.|rat monoclonal antibody raised against mouse recombinant GATA1; recommended for detection of GATA1 of mouse, rat and human origin. Antibody Target: GATA1|Erythrobl	Oth@ Gata1
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|G1E-ER4	Oth@ Ctcf
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|G1E	Oth@ Ctcf
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|CH12	Oth@ Ctcf
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|MEF	Pol@ RNA Polymerase II
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|BoneMarrow	Pol@ RNA Polymerase II
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|Cerebellum	Oth@ Ctcf
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|Kidney	Pol@ RNA Polymerase II
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|BoneMarrow	Oth@ Ctcf
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|Heart	Oth@ Ctcf
p300|sc-585|EP300(c-20)|Rabbit Polyclonal. Antibody Target: P300|ES-Bruce4	Oth@ Ep300
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|ES-Bruce4	Pol@ RNA Polymerase II
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|ES-Bruce4	Oth@ Ctcf
p300|sc-585|EP300(c-20)|Rabbit Polyclonal. Antibody Target: P300|Heart	Oth@ Ep300
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|Spleen	Pol@ RNA Polymerase II
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|Spleen	Oth@ Ctcf
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|MEF	Oth@ Ctcf
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|Thymus	Pol@ RNA Polymerase II
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|Limb	Oth@ Ctcf
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|Liver	Pol@ RNA Polymerase II
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|OlfactBulb	Oth@ Ctcf
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|OlfactBulb	Pol@ RNA Polymerase II
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|Thymus	Oth@ Ctcf
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|Kidney	Oth@ Ctcf
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|WholeBrain	Oth@ Ctcf
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|Cortex	Pol@ RNA Polymerase II
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|Cortex	Oth@ Ctcf
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|BMDM	Oth@ Ctcf
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|Cerebellum	Pol@ RNA Polymerase II
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|Lung	Pol@ RNA Polymerase II
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|Heart	Pol@ RNA Polymerase II
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|Lung	Oth@ Ctcf
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|BMDM	Pol@ RNA Polymerase II
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|Liver	Oth@ Ctcf
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|Testis	Oth@ Ctcf
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|SmIntestine	Pol@ RNA Polymerase II
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|SmIntestine	Oth@ Ctcf
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|Limb	Pol@ RNA Polymerase II
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|WholeBrain	Pol@ RNA Polymerase II
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|Testis	Pol@ RNA Polymerase II
H3K4me2_(ab32356)|ab32356|Histone H3 (di methyl K4). Marks promoters and enhancers.|Rabbit polyclonal. Antibody Target: H3K4me2|C2C12	His@ H3K4me2
H3K79me3_(ab2621)|ab2621|Associated with the gene body of actively transcribed genes|Rabbit polyclonal. Antibody Target: H3K79me3|C2C12	His@ H3K79me3
none|trophoblast stem cells	InP@ Input control
Purified IgG1 k isotype control (BD Biosciences, Cat. No. 554121, Lot #70274)|trophoblast stem cells	InP@ Input control
TEAD4 (Abcam, Cat. No. ab58310, Lot #GR33778-1)|trophoblast stem cells	Oth@ Tead4
CTCF|07-729|CTCF zinc finger transcription factor. A sequence specific DNA binding protein that functions as an insulator, blocking enhancer activity. It has also been suggested to block the spreading of chromatin structure in certain instances.|rabbit polyclonal. Antibody Target: CTCF|C2C12	Oth@ Ctcf
E2F4|sc-866|mapping at the C-terminus of E2F4 of human origin|rabbit polyclonal. Antibody Target: E2F4|C2C12	Oth@ E2f4
FOSL1_(sc-605)|sc-605|The Fos gene family consists of 4 members: FOS, FOSB, FOSL1, and FOSL2. These genes encode leucine zipper proteins that can dimerize with proteins of the JUN family, thereby forming the transcription factor complex AP-1. As such, the FOS proteins have been implicated as regulators of cell proliferation, differentiation, and transformation. (provided by RefSeq)|Rabbit polyclonal antibody raised against the N-terminus of FOSL1 of rat origin. Antibody Target: FOSL1|C2C12	Oth@ Fosl1
TCF12|sc-357|The protein encoded by this gene is a member of the basic helix-loop-helix (bHLH) E-protein family that recognizes the consensus binding site (E-box) CANNTG. This encoded protein is expressed in many tissues, among them skeletal muscle, thymus, B- and T-cells, and may participate in regulating lineage-specific gene expression through the formation of heterodimers with other bHLH E-proteins. Several alternatively spliced transcript variants of this gene have been described, but the full-length nature of some of these variants has not been determined.|HEB (A-20) Rabbit polyclonal IgG, 200 ?g/ml. Epitope mapping within the C-terminus of HEB of human origin. Antibody Target: TCF12|C2C12	Oth@ Tcf12
TCF3_(SC-349)|sc-349|Heterodimers between TCF3 and tissue-specific basic helix-loop-helix (bHLH) proteins play major roles in determining tissue-specific cell fate during embryogenesis, like muscle or early B-cell differentiation. Dimers bind DNA on E-box motifs: 5'-CANNTG-3'. Binds to the kappa-E2 site in the kappa immunoglobulin gene enhancer.|E2A.E12(V-18) is an affinity purified rabbit polyclonal antibody raised against a peptide mapping at the C-terminus of E2A.E12 of human origin. Recommended for detection of E12 and E47 of m, r and h origin by WB, IP, IF, IHC(P), ELISA and indirect FCM using PE (sc-3739)- or FITC (sc-2012)-conjugated goat anti-rabbit IgG. Antibody Target: TCF3|C2C12	Oth@ Tcf3
Pol2|MMS-126R|RNA Polymerase II|mouse monoclonal, clone 8WG16. Antibody Target: POL2|C2C12	Pol@ RNA Polymerase II
NRSF|(Made by Protein Expression Center: peccaltech.edu)|Neuron-restrictive silencer transcription factor|Mouse monoclonal. Antibody Target: NRSF|C2C12	Oth@ Rest
SRF|sc-335|Serum response transcription factor|Rabbit polyclonal. Antibody Target: SRF|C2C12	Oth@ Srf
Pol2(phosphoS2)|ab5095|RNA polymerase II, large subunit- specific for phosphorylated C-terminal domain.|Rabbit polyclonal against peptide conjugated to KLH derived from within residues 1600 - 1700 of S. cerevisiae RNA polymerase II CTD repeat YSPTSPS, phosphorylated at S2. Antibody Target: POL2S2|C2C12	Pol@ RNA Polymerase II
IgG|E14 mouse embryonic stem cells	InP@ Input control
NcoA3|E14 mouse embryonic stem cells	Oth@ Ncoa3
Santa Cruz SC-2025|Resting T cells, conconavalin A (conA) activation for 14hrs	InP@ Input control
Clontech, 632460|Resting T cells, conconavalin A (conA) activation for 14hrs	Unc@ Unclassified
Santa Cruz SC-2025|Resting T cells, conconavalin A (conA) activation for 4hrs	InP@ Input control
Clontech, 632460|Resting T cells, conconavalin A (conA) activation for 4hrs	Unc@ Unclassified
c-Myc|sc-764|transcription factor; c-Myc-encoded proteins function in cell proliferation,differentiation and neoplastic disease|rabbit polyclonal to amino acids 1-262 of c-Myc human origin. Antibody Target: c-Myc|MEL	Oth@ Myc
NELFe|sc-32912|NELFe (RDBP) is a part of the negative elongation factor complex which binds to RNAPII to suppress elongation.|NELFe (RDBP). Antibody Target: NELFe|MEL	Oth@ Nelfe
Pol2(phosphoS2)|ab5095|RNA polymerase II, large subunit- specific for phosphorylated C-terminal domain.|Rabbit polyclonal against peptide conjugated to KLH derived from within residues 1600 - 1700 of S. cerevisiae RNA polymerase II CTD repeat YSPTSPS, phosphorylated at S2. Antibody Target: POL2S2|CH12	Pol@ RNA Polymerase II
SMC3_(ab9263)|ab9263|Involved in chromosome cohesion during cell cycle and in DNA repair. Central component of cohesin complex.  The cohesin complex is required for the cohesion of sister chromatids after DNA replication.|Rabbit polyclonal raised against synthetic peptide representing a portion within the last 100 amino acids of the human Structural Maintenance of Chromosomes-3 conjugated to KLH. Antibody Target: SMC3|CH12	Oth@ Smc3
CHD2_(AB68301)|ab68301|CHD family of proteins are characterized by presence of chromo (chromatin organization modifier) domains and SNF2-related helicase/ATPase domains. CHD genes alter gene expression possibly by modification of chromatin structure thus altering access of the transcriptional apparatus to its chromosomal DNA template.|Rabbit polyclonal to CHD2 Synthetic peptide derived from within residues 1250 - 1350 of Human CHD2. Antibody Target: CHD2|MEL	Oth@ Chd2
Mxi1_(AF4185)|AF4185|Transcriptional repressor. Binds with MAX to form recognize the core sequence 5'-CACGATG-3', antagonizes MYC transcriptional activity by competing for MAX|Goat IgG. Raised against E. coli-derived rhMxi1. Antibody Target: Mxi1|MEL	Oth@ Mxi1
Pol2(phosphoS2)|ab5095|RNA polymerase II, large subunit- specific for phosphorylated C-terminal domain.|Rabbit polyclonal against peptide conjugated to KLH derived from within residues 1600 - 1700 of S. cerevisiae RNA polymerase II CTD repeat YSPTSPS, phosphorylated at S2. Antibody Target: POL2S2|MEL	Pol@ RNA Polymerase II
CHD2_(AB68301)|ab68301|CHD family of proteins are characterized by presence of chromo (chromatin organization modifier) domains and SNF2-related helicase/ATPase domains. CHD genes alter gene expression possibly by modification of chromatin structure thus altering access of the transcriptional apparatus to its chromosomal DNA template.|Rabbit polyclonal to CHD2 Synthetic peptide derived from within residues 1250 - 1350 of Human CHD2. Antibody Target: CHD2|CH12	Oth@ Chd2
Mxi1_(AF4185)|AF4185|Transcriptional repressor. Binds with MAX to form recognize the core sequence 5'-CACGATG-3', antagonizes MYC transcriptional activity by competing for MAX|Goat IgG. Raised against E. coli-derived rhMxi1. Antibody Target: Mxi1|CH12	Oth@ Mxi1
NELFe|sc-32912|NELFe (RDBP) is a part of the negative elongation factor complex which binds to RNAPII to suppress elongation.|NELFe (RDBP). Antibody Target: NELFe|CH12	Oth@ Nelfe
SMC3_(ab9263)|ab9263|Involved in chromosome cohesion during cell cycle and in DNA repair. Central component of cohesin complex.  The cohesin complex is required for the cohesion of sister chromatids after DNA replication.|Rabbit polyclonal raised against synthetic peptide representing a portion within the last 100 amino acids of the human Structural Maintenance of Chromosomes-3 conjugated to KLH. Antibody Target: SMC3|MEL	Oth@ Smc3
BHLHE40_(NB100-1800)|NB100-1800|This gene encodes a basic helix-loop-helix protein expressed in various tissues. Expression in the chondrocytes is responsive to the addition of Bt2cAMP. The encoded protein is believed to be involved in the control of cell differentiation.|Rabbit polyclonal, maps to a region between residues 350 and the C-terminus (residue 412). Antibody Target: BHLHE40|CH12	Oth@ Bhlhe40
p300|sc-585|EP300(c-20)|Rabbit Polyclonal. Antibody Target: P300|MEL	Oth@ Ep300
p300_(SC-584)|sc-584|Encodes the adenovirus E1A-associated cellular p300 transcriptional co-activator protein. Functions as histone acetyltransferase and regulates transcription via chromatin remodeling. Acetylates all four core histones in nucleosomes. Mediates cAMP-gene regulation by binding specifically to phosphorylated CREB protein|Rabbit polyclonal IgG, epitope mapping at the N-terminus of p300 of human origin. Antibody Target: P300|CH12	Oth@ Ep300
Max|sc-197|The protein encoded by this gene is a member of the basic helix-loop-helix leucine zipper (bHLHZ) family of transcription factors. It is able to form homodimers and heterodimers with other family members, which include Mad, Mxi1 and Myc. Myc is an oncoprotein implicated in cell proliferation, differentiation and apoptosis. The homodimers and heterodimers compete for a common DNA target site (the E box) and rearrangement among these dimer forms provides a complex system of transcriptional regulation. Multiple alternatively spliced transcript variants have been described for this gene but the full-length nature for some of them is unknown (RefSeq).|Rabbit polyclonal IgG, epitope mapping at the C-terminus of Max of human origin. Antibody Target: Max|MEL	Oth@ Max
JunD|sc-74|The protein encoded by this intronless gene is a member of the JUN family, and a functional component of the AP1 transcription factor complex. It has been proposed to protect cells from p53-dependent senescence and apoptosis. Alternate translation initiation site usage results in the production of different isoforms. (provided by RefSeq)|rabbit polyclonal IgG. Antibody Target: JunD|MEL	Oth@ Jund
E2F4|sc-866|mapping at the C-terminus of E2F4 of human origin|rabbit polyclonal. Antibody Target: E2F4|MEL	Oth@ E2f4
TBP|ab62126|General transcription factor that functions at the core of the DNA-binding multiprotein factor TFIID. Binding of TFIID to the TATA box is the initial transcriptional step of the pre-initiation complex (PIC), playing a role in the activation of eukaryotic genes transcribed by RNA polymerase II. Component of the transcription factor SL1/TIF-IB complex, which is involved in the assembly of the PIC (preinitiation complex) during RNA polymerase I-dependent transcription.|Mouse monoclonal. Immunogen is synthetic peptide conjugated to KLH derived from within residues 1 - 100 of HumanTATA binding protein TBP. Antibody Target: TBP|MEL	Oth@ Tbp
E2F4|sc-866|mapping at the C-terminus of E2F4 of human origin|rabbit polyclonal. Antibody Target: E2F4|CH12	Oth@ E2f4
Rad21|ab992|Synthetic peptide (Human) conjugated to KLH - which represents a portion of human Rad21 encoded within exon 14|Rabbit polyclonal. Antibody Target: RAD21|CH12	Oth@ Rad21
USF2|ab60931|Encodes a member of the basic helix-loop-helix leucine zipper family. The encoded protein can activate transcription through pyrimidine-rich initiator (Inr) elements and E-box motifs (5'-CACGTG-3').|Mouse monoclonal. Immunogen corresponds to amino acids 1-101 of Human USF2. Antibody Target: USF2|CH12	Oth@ Usf2
CTCF_(SC-15914)|sc-15914|Transcriptional regulator with 11 highly conserved zinc finger domains. Depending on context, can bind a histone acetyltransferase (HAT)-containing complex and function as transcriptional activator or bind a histone deacetylase (HDAC)-containing complex and function as transcriptional repressor. Involved in transcriptional regulation by binding to chromatin insulators and preventing interaction between promoter and nearby enhancers and silencers. Preferentially interacts with unmethylated DNA, preventing spreading of CpG methylation. Can dimerize, mediating long-range chromatin looping. When bound to chromatin, provides an anchor point for nucleosomes positioning. Involved in sister chromatid cohesion. Associates with both centromeres and chromosomal arms during metaphase and required for cohesin localization to CTCF sites.|Goat polyclonal, epitope mapping near the C-terminus of CTCF of human origin. Antibody Target: CTCF|CH12	Oth@ Ctcf
Max|sc-197|The protein encoded by this gene is a member of the basic helix-loop-helix leucine zipper (bHLHZ) family of transcription factors. It is able to form homodimers and heterodimers with other family members, which include Mad, Mxi1 and Myc. Myc is an oncoprotein implicated in cell proliferation, differentiation and apoptosis. The homodimers and heterodimers compete for a common DNA target site (the E box) and rearrangement among these dimer forms provides a complex system of transcriptional regulation. Multiple alternatively spliced transcript variants have been described for this gene but the full-length nature for some of them is unknown (RefSeq).|Rabbit polyclonal IgG, epitope mapping at the C-terminus of Max of human origin. Antibody Target: Max|CH12	Oth@ Max
c-Myc|sc-764|transcription factor; c-Myc-encoded proteins function in cell proliferation,differentiation and neoplastic disease|rabbit polyclonal to amino acids 1-262 of c-Myc human origin. Antibody Target: c-Myc|CH12	Oth@ Myc
c-Myb_(SC-7874)|sc-7874|Transcriptional activator; DNA-binding protein that specifically recognize the sequence 5'-YAACGTG-3'. Plays an important role in the control of proliferation and differentiation of hematopoietic progenitor cells.|Rabbit polyclonal IgG, Epitope corresponding to amino acids 500-640 mapping at the C-terminus of c-Myb of human origin. Antibody Target: c-Myb|MEL	Oth@ Myb
JunD|sc-74|The protein encoded by this intronless gene is a member of the JUN family, and a functional component of the AP1 transcription factor complex. It has been proposed to protect cells from p53-dependent senescence and apoptosis. Alternate translation initiation site usage results in the production of different isoforms. (provided by RefSeq)|rabbit polyclonal IgG. Antibody Target: JunD|CH12	Oth@ Jund
c-Jun|sc-1694|Heterodimer of Fos and Jun constitute transcription factor AP1.  Proto-oncogene c-Jun is a leucine-zipper.|Rabbit polyclonal to amino acids 1-79 mapping at the N-terminus of c-Jun p39 of human origin. Antibody Target: c-Jun|CH12	Oth@ Jun
